CIP1990,CIPTITLE1990,CIP2000,CIPTITLE2000
13.1205,Secondary Teacher Education,13.1205,Secondary Education and Teaching
13.1206,"Teacher Education, Multiple Levels",13.1206,"Teacher Education, Multiple Levels"
,,13.1207,Montessori Teacher Education (NEW)
,,13.1208,Waldorf/Steiner Teacher Education (NEW)
13.1299,"General Teacher Education, Other",13.1299,"Teacher Education and Professional Development, Specific Levels and Methods, Other"
13.13,"Teacher Education, Specific Academic and Vocational Programs",13.13,"Teacher Education and Professional Development, Specific Subject Areas"
13.1301,Agricultural Teacher Education (Vocational),13.1301,Agricultural Teacher Education
13.1302,Art Teacher Education,13.1302,Art Teacher Education
13.1303,Business Teacher Education (Vocational),13.1303,Business Teacher Education
13.1304,Driver and Safety Teacher Education,13.1304,Driver and Safety Teacher Education
13.1305,English Teacher Education,13.1305,English/Language Arts Teacher Education
13.1306,Foreign Languages Teacher Education,13.1306,Foreign Language Teacher Education
13.1307,Health Teacher Education,13.1307,Health Teacher Education
13.1308,Home Economics Teacher Education (Vocational),13.1308,Family and Consumer Sciences/Home Economics Teacher Education
13.1309,Technology Teacher Education/Industrial Arts Teacher Education,13.1309,Technology Teacher Education/Industrial Arts Teacher Education
13.1310,Marketing Operations/Marketing and Distribution Teacher Education (Vocational),13.1310,Sales and Marketing Operations/Marketing and Distribution Teacher Education
13.1311,Mathematics Teacher Education,13.1311,Mathematics Teacher Education
13.1312,Music Teacher Education,13.1312,Music Teacher Education
13.1314,Physical Education Teaching and Coaching,13.1314,Physical Education Teaching and Coaching
13.1315,Reading Teacher Education,13.1315,Reading Teacher Education
13.1316,"Science Teacher Education, General",13.1316,Science Teacher Education/General Science Teacher Education
13.1317,Social Science Teacher Education,13.1317,Social Science Teacher Education
13.1318,Social Studies Teacher Education,13.1318,Social Studies Teacher Education
13.1319,Technical Teacher Education,13.1319,Technical Teacher Education
13.1320,Trade and Industrial Teacher Education (Vocational),13.1320,Trade and Industrial Teacher Education
13.1321,Computer Teacher Education,13.1321,Computer Teacher Education
13.1322,Biology Teacher Education,13.1322,Biology Teacher Education
13.1323,Chemistry Teacher Education,13.1323,Chemistry Teacher Education
13.1324,Drama and Dance Teacher Education,13.1324,Drama and Dance Teacher Education
13.1325,French Language Teacher Education,13.1325,French Language Teacher Education
13.1326,German Language Teacher Education,13.1326,German Language Teacher Education
13.1327,Health Occupations Teacher Education (Vocational),13.1327,Health Occupations Teacher Education
13.1328,History Teacher Education,13.1328,History Teacher Education
13.1329,Physics Teacher Education,13.1329,Physics Teacher Education
13.1330,Spanish Language Teacher Education,13.1330,Spanish Language Teacher Education
13.1331,Speech Teacher Education,13.1331,Speech Teacher Education
,,13.1332,Geography Teacher Education (NEW)
,,13.1333,Latin Teacher Education (NEW)
,,13.1334,School Librarian/School Library Media Specialist(NEW)
,,13.1335,Psychology Teacher Education (NEW)
13.1399,"Teacher Education, Specific Academic and Vocational Programs, Other",13.1399,"Teacher Education and Professional Development, Specific Subject Areas, Other"
13.14,Teaching English as a Second Language/Foreign Language,13.14,Teaching English as a Second or Foreign Language
13.1401,Teaching English as a Second Language/Foreign Language,13.1401,Teaching English as a Second or Foreign Language/ESL Language Instructor
,,13.1402,Teaching French as a Second or Foreign Language (NEW)
,,13.1499,"Teaching English or French as a Second or Foreign Language, Other (NEW)"
13.15,Teacher Assistant/Aide,13.15,Teaching Assistants/Aides
13.1501,Teacher Assistant/Aide,13.1501,Teacher Assistant/Aide
,,13.1502,Adult Literacy Tutor/Instructor (NEW)
,,13.1599,"Teaching Assistants/Aides, Other (NEW)"
13.99,"Education, Other",13.99,"Education, Other"
13.9999,"Education, Other",13.9999,"Education, Other"
14,ENGINEERING,14.,ENGINEERING
14.01,"Engineering, General",14.01,"Engineering, General"
14.0101,"Engineering, General",14.0101,"Engineering, General"
14.02,"Aerospace, Aeronautical and Astronautical Engineering",14.02,"Aerospace, Aeronautical and Astronautical Engineering"
14.0201,"Aerospace, Aeronautical and Astronautical Engineering",14.0201,"Aerospace, Aeronautical and Astronautical Engineering"
14.03,Agricultural Engineering,14.03,Agricultural/Biological Engineering and Bioengineering
14.0301,Agricultural Engineering,14.0301,Agricultural/Biological Engineering and Bioengineering
14.04,Architectural Engineering,14.04,Architectural Engineering
14.0401,Architectural Engineering,14.0401,Architectural Engineering
14.05,Bioengineering and Biomedical Engineering,14.05,Biomedical/Medical Engineering
14.0501,Bioengineering and Biomedical Engineering,14.0501,Biomedical/Medical Engineering
14.06,Ceramic Sciences and Engineering,14.06,Ceramic Sciences and Engineering
14.0601,Ceramic Sciences and Engineering,14.0601,Ceramic Sciences and Engineering
14.07,Chemical Engineering,14.07,Chemical Engineering
14.0701,Chemical Engineering,14.0701,Chemical Engineering
14.08,Civil Engineering,14.08,Civil Engineering
14.0801,"Civil Engineering, General",14.0801,"Civil Engineering, General"
14.0802,Geotechnical Engineering,14.0802,Geotechnical Engineering
14.0803,Structural Engineering,14.0803,Structural Engineering
14.0804,Transportation and Highway Engineering,14.0804,Transportation and Highway Engineering
14.0805,Water Resources Engineering,14.0805,Water Resources Engineering
14.0899,"Civil Engineering, Other",14.0899,"Civil Engineering, Other"
14.09,Computer Engineering,14.09,"Computer Engineering, General"
14.0901,Computer Engineering,14.0901,"Computer Engineering, General"
,,14.0902,Computer Hardware Engineering (NEW)
,,14.0903,Computer Software Engineering (NEW)
,,14.0999,"Computer Engineering, Other (NEW)"
14.10,"Electrical, Electronics and Communications Engineering",14.10,"Electrical, Electronics and Communi­cations Engineering"
14.1001,"Electrical, Electronics and Communication Engineering",14.1001,"Electrical, Electronics and Communi­cations Engineering"
14.11,Engineering Mechanics,14.11,Engineering Mechanics
14.1101,Engineering Mechanics,14.1101,Engineering Mechanics
14.12,Engineering Physics,14.12,Engineering Physics
14.1201,Engineering Physics,14.1201,Engineering Physics
14.13,Engineering Science,14.13,Engineering Science
14.1301,Engineering Science,14.1301,Engineering Science
14.14,Environmental/Environmental Health Engineering,14.14,Environmental/Environmental Health Engineering
14.1401,Environmental/Environmental Health Engineering,14.1401,Environmental/Environmental Health Engineering
14.15,Geological Engineering,,Deleted
14.1501,Geological Engineering,14.3901,Geological/Geophysical Engineering (NEW)
14.16,Geophysical Engineering,,Deleted
14.1601,Geophysical Engineering,14.3901,Geological/Geophysical Engineering (NEW)
14.17,Industrial/Manufacturing Engineering,,Deleted
14.1701,Industrial/Manufacturing Engineering,14.3501,Industrial Engineering. (NEW)
,,14.3601,Manufacturing Engineering (NEW)
14.18,Materials Engineering,14.18,Materials Engineering
14.1801,Materials Engineering,14.1801,Materials Engineering
14.19,Mechanical Engineering,14.19,Mechanical Engineering
14.1901,Mechanical Engineering,14.1901,Mechanical Engineering
14.20,Metallurgical Engineering,14.20,Metallurgical Engineering
14.2001,Metallurgical Engineering,14.2001,Metallurgical Engineering
14.21,Mining and Mineral Engineering,14.21,Mining and Mineral Engineering
14.2101,Mining and Mineral Engineering,14.2101,Mining and Mineral Engineering
14.22,Naval Architecture and Marine Engineering,14.22,Naval Architecture and Marine Engineering
14.2201,Naval Architecture and Marine Engineering,14.2201,Naval Architecture and Marine Engineering
14.23,Nuclear Engineering,14.23,Nuclear Engineering
14.2301,Nuclear Engineering,14.2301,Nuclear Engineering
14.24,Ocean Engineering,14.24,Ocean Engineering
14.2401,Ocean Engineering,14.2401,Ocean Engineering
14.25,Petroleum Engineering,14.25,Petroleum Engineering
14.2501,Petroleum Engineering,14.2501,Petroleum Engineering
14.27,Systems Engineering,14.27,Systems Engineering
14.2701,Systems Engineering,14.2701,Systems Engineering
14.28,Textile Sciences and Engineering,14.28,Textile Sciences and Engineering
14.2801,Textile Sciences and Engineering,14.2801,Textile Sciences and Engineering
14.29,Engineering Design,,Deleted
14.2901,Engineering Design,14.9999,"Engineering, Other"
14.30,Engineering/Industrial Management,,Deleted
14.3001,Engineering/Industrial Management,15.1501,Engineering/Industrial Management
14.31,Materials Science,14.31,Materials Science
14.3101,Materials Science,14.3101,Materials Science
14.32,Polymer/Plastics Engineering,14.32,Polymer/Plastics Engineering
14.3201,Polymer/Plastics Engineering,14.3201,Polymer/Plastics Engineering
,,14.33,Construction Engineering (NEW)
,,14.3301,Construction Engineering (NEW)
,,14.34,Forest Engineering (NEW)
,,14.3401,Forest Engineering (NEW)
,,14.35,Industrial Engineering (NEW)
,,14.36,Manufacturing Engineering (NEW)
,,14.37,Operations Research (NEW)
,,14.38,Surveying Engineering (NEW)
,,14.3801,Surveying Engineering (NEW)
,,14.39,Geological/Geophysical Engineering (NEW)
14.99,"Engineering, Other",14.99,"Engineering, Other"
14.9999,"Engineering, Other",14.9999,"Engineering, Other"
15,ENGINEERING-RELATED TECHNOLOGIES,15.,ENGINEERING TECHNOLOGIES/TECHNICIANS
,,15.00,"Engineering Technology, General (NEW)"
15.01,Architectural Engineering Technology,15.01,Architectural Engineering Technology/Technicians
15.0101,Architectural Engineering Technology/Technician,15.0101,Architectural Engineering Technology/Technician
15.02,Civil Engineering/Civil Technology,15.02,Civil Engineering Technology/Technician
15.0201,Civil Engineering/Civil Technology/Technician,15.0201,Civil Engineering Technology/Technician
15.03,Electrical and Electronic Engineering-Related Technology,15.03,Electrical and Electronic Engineering Technologies/Technicians
15.0301,Computer Engineering Technology/Technician,15.1201,Computer Engineering Technology/ Technician
15.0303,"Electrical, Electronic and Communications Engineering Technology/Technician",15.0303,"Electrical, Electronic and Communications Engineering Technology/Technician"
15.0304,Laser and Optical Technology/Technician,15.0304,Laser and Optical Technology/Technician
,,15.0305,Telecommunications Technology/Technician(NEW)
15.0399,"Electrical and Electronic Engineering Related Technologies/Technicians, Other",15.0399,"Electrical and Electronic Engineering Technologies/Technicians, Other"
15.04,Electromechanical Instrumentation and Maintenance Technology,15.04,Electromechanical and Instrumentation and Maintenance Technologies/Technicians
15.0401,Biomedical Engineering-Related Technology/Technician,15.0401,Biomedical Technology/Technician
15.0402,Computer Maintenance Technology/Technician,15.1202,Computer Technology/Computer Systems Technology (NEW)
15.0403,Electromechanical Technology/Technician,15.0403,Electromechanical Technology/Electromechanical Engineering Technology
15.0404,Instrumentation Technology/Technician,15.0404,Instrumentation Technology/Technician
15.0405,Robotics Technology/Technician,15.0405,Robotics Technology/Technician
15.0499,"Electromechanical Instrumentation and Maintenance Technologies/Technicians, Other",15.0499,"Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other"
15.05,Environmental Control Technologies,15.05,Environmental Control Technologies/Technicians
15.0501,"Heating, Air Conditioning and Refrigeration EngineeringTechnology/Technician",15.0501,"Heating, Air Conditioning and Refrigeration Technology/Technician (ACH/ACR/ACHR/HRAC/HVAC/AC Technology)"
15.0503,Energy Management and Systems Technology/Technician,15.0503,Energy Management and Systems Technology/Technician
15.0505,Solar Technology/Technician,15.0505,Solar Energy Technology/Technician
15.0506,Water Quality and Wastewater Treatment Technology/Technician,15.0506,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician
15.0507,Environmental and Pollution Control Technology/Technician,15.0507,Environmental Engineering Technology/Environmental Technology
,,15.0508,Hazardous Materials Management and WasteTechnology/Technician (NEW)
15.0599,"Environmental Control Technologies/Technicians, Other",15.0599,"Environmental Control Technologies/Technicians, Other"
15.06,Industrial Production Technologies,15.06,Industrial Production Technologies/Technicians
15.0603,Industrial/Manufacturing Technology/Technician,15.0612,Industrial Technology/Technician. (NEW)
,,15.0613,Manufacturing Technology/Technician (NEW)
15.0607,Plastics Technology/Technician,15.0607,Plastics Engineering Technology/Technician
15.0611,Metallurgical Technology/Technician,15.0611,Metallurgical Technology/Technician
15.0699,"Industrial Production Technologies/Technicians, Other",15.0699,"Industrial Production Technologies/Technicians, Other"
15.07,Quality Control and Safety Technologies,15.07,Quality Control and Safety Technologies/Technicians
15.0701,Occupational Safety and Health Technology/Technician,15.0701,Occupational Safety and Health Technology/Technician
15.0702,Quality Control Technology/Technician,15.0702,Quality Control Technology/Technician
,,15.0703,Industrial Safety Technology/Technician(NEW)
,,15.0704,Hazardous Materials Information Systems Technology/Technician (NEW)
15.0799,"Quality Control and Safety Technologies/Technicians, Other",15.0799,"Quality Control and Safety Technologies/Technicians, Other"
15.08,Mechanical Engineering-Related Technologies,15.08,Mechanical Engineering Related Technologies/Technicians
15.0801,Aeronautical and Aerospace Engineering Technology/Technician,15.0801,Aeronautical/Aerospace Engineering Technology/Technician
15.0803,Automotive Engineering Technology/Technician,15.0803,Automotive Engineering Technology/Technician
15.0805,Mechanical Engineering/Mechanical Technology/Technician,15.0805,Mechanical Engineering/Mechanical Technology/Technician
15.0899,"Mechanical Engineering-Related Technologies/Technicians, Other",15.0899,"Mechanical Engineering Related Technologies/Technicians, Other"
15.09,Mining and Petroleum Technologies,15.09,Mining and Petroleum Technologies/Technicians
15.0901,Mining Technology/Technician,15.0901,Mining Technology/Technician
15.0903,Petroleum Technology/Technician,15.0903,Petroleum Technology/Technician
15.0999,"Mining and Petroleum Technologies/Technicians, Other",15.0999,"Mining and Petroleum Technologies/Technicians, Other"
15.10,Construction/Building Technology,15.10,Construction Engineering Technology/Technician
15.1001,Construction/Building Technology/Technician,15.1001,Construction Engineering Technology/Technician
15.11,Miscellaneous Engineering-Related Technologies,15.11,Engineering-Related Technologies
15.1101,"Engineering-Related Technology/Technician, General",15.0000,"Engineering Technology, General"
15.1102,Surveying,15.1102,Survey Technology/ Surveying
15.1103,Hydraulic Technology/Technician,15.1103,Hydraulics and Fluid Power Technology/ Technician
,,15.1199,"Engineering-Related Technologies, Other(NEW)"
,,15.12,Computer Engineering Technologies/Technicians (NEW)
,,15.1202,Computer Technology/Computer Systems Technology (NEW)
,,15.1203,Computer Hardware Technology/Technician(NEW)
,,15.1204,Computer Software Technology/Technician(NEW)
,,15.1299,"Computer Engineering Technologies/Technicians, Other (NEW)"
,,15.13,Drafting/Design Engineering Technologies/Technicians (NEW)
,,15.1302,CAD/CADD Drafting and/or Design Technology/Technician (NEW)
,,15.14,Nuclear Engineering Technology/Technician(NEW)
,,15.1401,Nuclear Engineering Technology/Technician(NEW)
,,15.1599,"Engineering-Related Fields, Other (NEW)"
15.99,"Engineering-Related Technologies, Other",15.99,"Engineering Technologies/Technicians, Other"
15.9999,"Engineering-Related Technologies/Technicians, Other",15.9999,"Engineering Technologies/Technicians, Other"
16,FOREIGN LANGUAGES AND LITERATURES,16.,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
16.01,Foreign Languages and Literatures,16.01,"Linguistic, Comparative, and Related Language Studies and Services"
16.0101,"Foreign Languages and Literatures, General",16.0101,"Foreign Languages and Literatures, General"
16.0102,Linguistics,16.0102,Linguistics
16.0103,Foreign Language Interpretation and Translation,16.0103,Language Interpretation and Translation
,,16.0199,"Linguistic, Comparative, and Related Language Studies and Services, Other (NEW)"
,,16.02,"African Languages, Literatures, and Linguistics(NEW)"
,,16.0201,"African Languages, Literatures, and Linguistics (NEW)"
16.03,East and Southeast Asian Languages and Literatures,16.03,"East Asian Languages, Literatures, and Linguistics"
,,16.0300,"East Asian Languages, Literatures, and Linguistics, General (NEW)"
16.0301,Chinese Language and Literature,16.0301,Chinese Language and Literature
16.0302,Japanese Language and Literature,16.0302,Japanese Language and Literature
,,16.0303,Korean Language and Literature (NEW)
,,16.0304,Tibetan Language and Literature (NEW)
16.0399,"East and Southeast Asian Languages and Literatures, Other",16.0399,"East Asian Languages, Literatures, and Linguistics, Other"
16.04,East European Languages and Literatures,16.04,"Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics"
,,16.0401,"Baltic Languages, Literatures, and Linguistics(NEW)"
16.0402,Russian Language and Literature,16.0402,Russian Language and Literature
16.0403,Slavic Languages and Literatures (Other Than Russian),16.0400,"Slavic Languages, Literatures, and Linguistics, General (NEW)"
,,16.0404,Albanian Language and Literature (NEW)
,,16.0405,Bulgarian Language and Literature (NEW)
,,16.0406,Czech Language and Literature (NEW)
,,16.0407,Polish Language and Literature (NEW)
,,16.0408,"Serbian, Croatian, and Serbo-Croatian Languages and Literatures (NEW)"
,,16.0409,Slovak Language and Literature (NEW)
,,16.0410,Ukrainian Language and Literature (NEW)
16.0499,"East European Languages and Literatures, Other",16.0499,"Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other"
16.05,Germanic Languages and Literatures,16.05,"Germanic Languages, Literatures, and Linguistics"
,,16.0500,"Germanic Languages, Literatures, and Linguistics, General (NEW)"
16.0501,German Language and Literature,16.0501,German Language and Literature
16.0502,Scandinavian Languages and Literatures,16.0502,"Scandinavian Languages, Literatures, and Linguistics"
,,16.0503,Danish Language and Literature (NEW)
,,16.0504,Dutch/Flemish Language and Literature (NEW)
,,16.0505,Norwegian Language and Literature (NEW)
,,16.0506,Swedish Language and Literature (NEW)
16.0599,"Germanic Languages and Literatures, Other",16.0599,"Germanic Languages, Literatures, and Linguistics, Other"
16.06,Greek Languages and Literatures (Modern),16.06,Modern Greek Language and Literature
16.0601,Greek Languages and Literatures (Modern),16.0601,Modern Greek Language and Literature
16.07,South Asian Languages and Literatures,16.07,"South Asian Languages, Literatures, and Linguistics"
,,16.0701,Hindi Language and Literature (NEW)
,,16.0702,"Sanskrit and Classical Indian Languages, Literatures, and Linguistics (NEW)"
16.0703,South Asian Languages and Literatures,16.0700,"South Asian Languages, Literatures, and Linguistics, General (NEW)"
,,16.0704,Bengali Language and Literature (NEW)
,,16.0705,Panjabi Language and Literature (NEW)
,,16.0706,Tamil Language and Literature (NEW)
,,16.0707,Urdu Language and Literature (NEW)
,,16.0799,"South Asian Languages, Literatures, and Linguistics, Other (NEW)"
,,16.08,"Iranian/Persian Languages, Literatures, and Linguistics (NEW)"
,,16.0801,"Iranian/Persian Languages, Literatures, and Linguistics (NEW)"
16.09,Romance Languages and Literatures,16.09,"Romance Languages, Literatures, and Linguistics"
,,16.0900,"Romance Languages, Literatures, and Linguistics, General (NEW)"
16.0901,French Language and Literature,16.0901,French Language and Literature
16.0902,Italian Language and Literature,16.0902,Italian Language and Literature
16.0904,Portuguese Language and Literature,16.0904,Portuguese Language and Literature
16.0905,Spanish Language and Literature,16.0905,Spanish Language and Literature
,,16.0906,Romanian Language and Literature (NEW)
,,16.0907,Catalan Language and Literature (NEW)
16.0999,"Romance Languages and Literatures, Other",16.0999,"Romance Languages, Literatures, and Linguistics, Other"
,,16.10,"American Indian/Native American Languages, Literatures, and Linguistics (NEW)"
,,16.1001,"American Indian/Native American Languages, Literatures, and Linguistics (NEW)"
16.11,Middle Eastern Languages and Literatures,16.11,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics"
,,16.1100,"Semitic Languages, Literatures, and Linguistics, General (NEW)"
16.1101,Arabic Language and Literature,16.1101,Arabic Language and Literature
16.1102,Hebrew Language and Literature,16.1102,Hebrew Language and Literature
,,16.1103,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics (NEW)"
16.1199,"Middle Eastern Languages and Literatures, Other",16.1199,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other"
16.12,Classical and Ancient Near Eastern Languages and Literatures,16.12,"Classics and Classical Languages, Literatures, and Linguistics"
16.1201,Classics and Classical Languages and Literatures,16.1200,"Classics and Languages, Literatures and Linguistics, General"
16.1202,Greek Language and Literature (Ancient and Medieval),16.1202,Ancient/Classical Greek Language and Literature
16.1203,Latin Language and Literature (Ancient and Medieval),16.1203,Latin Language and Literature
16.1299,"Classical and Ancient Near Eastern Languages and Literatures, Other",16.1299,"Classics and Classical Languages, Literatures, and Linguistics, Other"
,,16.13,"Celtic Languages, Literatures, and Linguistics(NEW)"
,,16.1301,"Celtic Languages, Literatures, and Linguistics(NEW)"
,,16.14,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics (NEW)"
,,16.1400,"Southeast Asian Languages, Literatures, and Linguistics, General ( NEW)"
,,16.1401,"Australian/Oceanic/Pacific Languages, Literatures, and Linguistics (NEW)"
,,16.1402,Bahasa Indonesian/Bahasa Malay Languages and Literatures (NEW)
,,16.1403,Burmese Language and Literature (NEW)
,,16.1404,Filipino/Tagalog Language and Literature(NEW)
,,16.1405,Khmer/Cambodian Language and Literature(NEW)
,,16.1406,Lao/Laotian Language and Literature (NEW)
,,16.1407,Thai Language and Literature (NEW)
,,16.1408,Vietnamese Language and Literature (NEW)
,,16.1499,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics, Other(NEW)"
,,16.15,"Turkic, Ural-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics (NEW)"
,,16.1501,Turkish Language and Literature (NEW)
,,16.1502,"Finnish and Related Languages, Literatures, and Linguistics (NEW)"
,,16.1503,Hungarian/Magyar Language and Literature(NEW)
,,16.1504,Mongolian Language and Literature (NEW)
,,16.1599,"Turkic, Ural-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics, Other (NEW)"
,,16.16,American Sign Language (NEW)
,,16.1601,American Sign Language (ASL) (NEW)
,,16.1602,Linguistics of ASL and Other Sign Languages(NEW)
,,16.,"1699 American Sign Language, Other (NEW)"
16.99,"Foreign Languages and Literatures, Other",16.99,"Foreign Languages, Literatures, and Linguistics, Other"
16.9999,"Foreign Languages and Literatures, Other",16.9999,"Foreign Languages, Literatures, and Linguistics, Other"
19,HOME ECONOMICS,19.,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES
,,19.00,Work and Family Studies (NEW)
,,19.0000,Work and Family Studies (NEW)
19.01,"Home Economics, General",19.01,"Family and Consumer Sciences/Human Sciences, General"
19.0101,"Home Economics, General",19.0101,"Family and Consumer Sciences/Human Sciences, General"
19.02,Family and Consumer Science Business Services/Home Economics Business Services,19.02,Family and Consumer Sciences/Human Sciences Business Services
19.0201,Business Family and Consumer Science/Home Economics,19.0201,Business Family and Consumer Sciences/Human Sciences
19.0202,Home Economics Communications,19.0202,Family and Consumer Sciences/Human Sciences Communication
,,19.0203,Consumer Merchandising/Retailing Management (NEW)
,,19.0299,"Family and Consumer Sciences/Human Sciences Business Services, Other (NEW)"
19.03,Family and Community Studies,,Deleted
19.0301,Family and Community Studies,19.0707,Family and Community Services
19.04,Family/Consumer Resource Management,19.04,Family and Consumer Economics and Related Services
19.0401,Family Resource Management Studies,19.0401,"Family Resource Management Studies, General"
19.0402,Consumer Economics and Science,19.0402,Consumer Economics
,,19.0403,Consumer Services and Advocacy (NEW)
19.0499,"Family/Consumer Resource Management, Other",19.0499,"Family and Consumer Economics and Related Services, Other"
19.05,Foods and Nutrition Studies,19.05,"Foods, Nutrition, and Related Services"
19.0501,"Foods and Nutrition Studies, General",19.0501,"Foods, Nutrition, and Wellness Studies, General"
19.0502,Foods and Nutrition Science,19.0501,"Foods, Nutrition, and Wellness Studies, General"
19.0503,Dietetics/Human Nutritional Services,51.3101,Dietetics/Dietitian (RD).
,,51.3102,Clinical Nutrition/Nutrionist
,,19.0504,Human Nutrition (NEW)
19.0505,Food Systems Administration,19.0505,Foodservice Systems Administration/Management
19.0599,"Foods and Nutrition Studies, Other",19.0599,"Foods, Nutrition, and Related Services, Other"
19.06,Housing Studies,19.06,Housing and Human Environments
19.0601,"Housing Studies, General",19.0601,"Housing and Human Environments, General"
19.0603,Interior Environments,19.0601,"Housing and Human Environments, General"
,,19.0604,Facilities Planning and Management (NEW)
19.0699,"Housing Studies, Other",19.0699,"Housing and Human Environments, Other"
19.07,Individual and Family Development Studies,19.07,"Human Development, Family Studies, and Related Services"
19.0701,"Individual and Family Development Studies, General",19.0701,"Human Development and Family Studies, General"
19.0703,Family and Marriage Counseling,51.1505,Marriage and Family Therapy/Counseling
19.0704,Family Life and Relations Studies,19.0704,Family Systems
19.0705,Gerontological Services,19.0702,Adult Development and Aging (NEW)
19.0706,"Child Growth, Care and Development Studies",19.0706,Child Development
,,19.0707,Family and Community Services
,,19.0708,Child Care and Support Services Management(NEW)
19.0799,"Individual and Family Development Studies, Other",19.0799,"Human Development, Family Studies, and Related Services, Other"
19.09,Clothing/Apparel and Textile Studies,19.09,Apparel and Textiles
19.0901,Clothing/Apparel and Textile Studies,19.0901,"Apparel and Textiles, General"
,,19.0904,Textile Science (NEW)
19.99,"Home Economics, Other",19.99,"Family and Consumer Sciences/Human Sciences, Other"
19.9999,"Home Economics, Other",19.9999,"Family and Consumer Sciences/Human Sciences, Other"
20,VOCATIONAL HOME ECONOMICS,Deleted,Report Under: 19. Series Family and Consumer Sciences/Human Sciences
20.02,Child Care and Guidance Workers and Managers,19.07,"Human Development, Family Studies, and Related Services"
20.0201,"Workers and Managers, General",19.0708,Child Care and Support Services Management(NEW)
20.0202,Child Care Provider/Assistant,19.0709,Child Care Provider/Assistant
20.0203,Child Care Services Manager,19.0708,Child Care and Support Services Management(NEW)
20.0299,"Child Care and Guidance Workers and Managers, Other",19.0799,"Human Development, Family Studies, and Related Services, Other"
20.03,"Clothing, Apparel and Textile Workers and Managers",19.09,Apparel and Textiles
20.0301,"Clothing, Apparel and Textile Workers and Managers, General",19.0905,Apparel and Textile Marketing Management
20.0303,Commercial Garment and Apparel Worker,19.0902,Apparel and Textile Manufacture
20.0305,Custom Tailor,19.0999,"Apparel and Textiles, Other (NEW)"
20.0306,Fashion and Fabric Consultant,19.0906,Fashion and Fabric Consultant
20.0309,Drycleaner and Launderer (Commercial),19.0999,"Apparel and Textiles, Other (NEW)"
20.0399,"Clothing, Apparel and Textile Workers and Managers, Other",19.0999,"Apparel and Textiles, Other"
20.04,Institutional Food Workers and Administrators,19.05,"Foods, Nutrition, and Related Services"
20.0401,"Institutional Food Workers and Administrators, General",12.0508,Institutional Food Workers. (NEW)
,,19.0505,Foodservice Systems Administration/Management
20.0404,Dietitian Assistant,51.3104,Dietitian Assistant
20.0405,Food Caterer,12.0504,"Restaurant, Culinary, and Catering Management/Manager"
20.0409,Institutional Food Services Administrator,19.0505,Foodservice Systems Administration/Management
20.0499,"Institutional Food Workers and Administrators, Other",19.0599,"Foods, Nutrition, and Related Services, Other"
20.05,Home Furnishings and Equipment Installers and Consultants,19.06,Housing and Human Environments
20.0501,"Home Furnishings and Equipment Installers and Consultants,",19.0605,Home Furnishings and Equipment Installers
20.0502,Window Treatment Maker and Installer,19.0699,"Housing and Human Environments, Other"
20.0599,"Home Furnishings and Equipment Installers and Consultants, Other",19.0699,"Housing and Human Environments, Other"
20.06,"Custodial, Housekeeping and Home Services Workers and",19.0699,"Housing and Human Environments, Other"
20.0601,"Custodial, Housekeeping and Home Services Workers and",19.0699,"Housing and Human Environments, Other"
20.0602,Elder Care Provider/Companion,19.0702,Adult Development and Aging (NEW)
20.0604,Custodian/Caretaker,19.0799,"Human Development, Family Studies, and Related Services, Other"
20.0605,Executive Housekeeper,19.0699,"Housing and Human Environments, Other"
20.0606,Homemaker's Aide,19.0699,"Housing and Human Environments, Other"
20.0699,"Custodial, Housekeeping and Home Services Workers and Managers, Other",19.0699,"Housing and Human Environments, Other"
20.99,"Home Economics, Other",19.99,"Family and Consumer Sciences/Human Sciences, Other"
20.9999,"Vocational Home Economics, Other",19.9999,"Family and Consumer Sciences/Human Sciences, Other"
22,LAW AND LEGAL STUDIES,22.,LEGAL PROFESSIONS AND STUDIES
,,22.00,Non-Professional General Legal Studies (Undergraduate) (NEW)
,,22.0000,"Legal Studies, General (NEW)"
22.01,Law and Legal Studies,22.01,"Law (LL.B., J.D.)"
22.0101,"Law (LL.B., J.D.)",22.0101,"Law (LL.B., J.D.)"
22.0102,Pre-Law Studies,22.0001,Pre-Law Studies
22.0103,Paralegal/Legal Assistant,22.0302,Legal Assistant/Paralegal
22.0104,"Judicial Science/Legal Specialization (LL.M., M.C.L., J.S.D./S.J.D.)",22.0299,"Legal Research and Advanced Professional Studies (Post- LL.B./J.D.), Other (NEW)"
22.0199,"Law and Legal Studies, Other",22.9999,"Legal Professions and Studies, Other (NEW)"
