CIPFamily,CIPCode,Type,General,TextChange,CIPTitle,CIPDefinition,CrossReferences,Examples
04,04.05,Architecture.,Art and Architecture,no,Interior Architecture.,Instructional content is defined in code 04.0501.,,Examples: - Urban Design
04,04.0501,Architecture.,Art and Architecture,no,Interior Architecture.,"A program that prepares individuals to apply architectural principles in the design of structural interiors for living, recreational, and business purposes and to function as professional interior architects.  Includes instruction in architecture, structural systems design, heating and cooling systems, occupational and safety standards, interior design, specific end-use applications, and professional responsibilities and standards.",50.0408 - Interior Design.,Examples: - Urban Design
04,04.06,Architecture.,Art and Architecture,no,Landscape Architecture.,Instructional content is defined in code 04.0601.,,Examples: - Urban Design
04,04.0601,Architecture.,Art and Architecture,no,Landscape Architecture.,"A program that prepares individuals for the independent professional practice of landscape architecture and research in various aspects of the field.  Includes instruction in geology and hydrology; soils, groundcovers, and horticultural elements; project and site planning; landscape design, history, and theory; environmental design; applicable law and regulations; and professional responsibilities and standards.","03.0206 - Land Use Planning and Management/Development., 01.0605 - Landscaping and Groundskeeping.","Examples: - Landscape Architecture (BS, BSLA, BLA), - Landscape Architecture (MSLA, MLA), - Landscape Architecture (PhD)"
04,04.08,Architecture.,Art and Architecture,no,Architectural History and Criticism.,Instructional content is defined in code 04.0801.,,"Examples: - Landscape Architecture (BS, BSLA, BLA), - Landscape Architecture (MSLA, MLA), - Landscape Architecture (PhD)"
04,04.0801,Architecture.,Art and Architecture,no,"Architectural History and Criticism, General.","A general program that focuses on the aesthetic, technical, and social development of the built environment and the architectural profession from earliest times to the present.  Includes instruction in the principles of architecture and related fields; art history; historiography of architecture; architectural theory and criticism; related aspects of the history of technology and social and economic history; and various period, cultural, and stylistic specializations.",,"Examples: - Landscape Architecture (BS, BSLA, BLA), - Landscape Architecture (MSLA, MLA), - Landscape Architecture (PhD)"
04,04.09,Architecture.,Art and Architecture,yes,Architectural Sciences and Technology.,Instructional content for this group of programs is defined in codes 04.0901 - 04.0999.,,"Examples: - Landscape Architecture (BS, BSLA, BLA), - Landscape Architecture (MSLA, MLA), - Landscape Architecture (PhD)"
04,04.0901,Architecture.,Art and Architecture,no,Architectural Technology/Technician.,"A program that prepares individuals to assist architects in developing plans and related documentation and in performing architectural office services.  Includes instruction in architectural drafting, computer-assisted drafting and design, construction methods and materials, environmental systems, building codes and standards, structural principles, cost estimation, planning documentation, visual communication skills, display production, and architectural office management.",15.1303 - Architectural Drafting and Architectural CAD/CADD.,"Examples: - Landscape Architecture (BS, BSLA, BLA), - Landscape Architecture (MSLA, MLA), - Landscape Architecture (PhD)"
04,04.0902,Architecture.,Art and Architecture,no,Architectural and Building Sciences/Technology.,"A program that  focuses on the application of advanced technology to building design and construction, retrofitting existing buildings, and efficient operation of buildings, including lighting and daylight design, acoustics, solar design, building conservation, and energy-conscious design.  Includes instruction in architecture, building technology, civil and structural engineering, mechanical engineering, environmental control systems, sustainability, and computer tools and applications.",,"Examples: - Architectural and Building Sciences/Technology (BArch, BA/BS), - Architectural and Building Sciences/Technology (MArch/MA/MS), - Architectural and Building Sciences/Technology (PhD)"
04,04.0999,Architecture.,Art and Architecture,no,"Architectural Sciences and Technology, Other.",Any instructional program in architectural sciences and technology not listed above.,,"Examples: - Architectural and Building Sciences/Technology (BArch, BA/BS), - Architectural and Building Sciences/Technology (MArch/MA/MS), - Architectural and Building Sciences/Technology (PhD)"
04,04.10,Architecture.,Art and Architecture,no,Real Estate Development.,Instructional content is defined in code 04.1001.,,"Examples: - Architectural and Building Sciences/Technology (BArch, BA/BS), - Architectural and Building Sciences/Technology (MArch/MA/MS), - Architectural and Building Sciences/Technology (PhD)"
04,04.1001,Architecture.,Art and Architecture,no,Real Estate Development.,"A program that prepares individuals to create and redevelop housing, offices, retail centers, and industrial sites.  Includes instruction in architectural design and construction, historic preservation, landscape architecture, urban planning and design, business, real estate and land use law, public policy, and engineering.",52.1501 - Real Estate.,"Examples: - Architectural and Building Sciences/Technology (BArch, BA/BS), - Architectural and Building Sciences/Technology (MArch/MA/MS), - Architectural and Building Sciences/Technology (PhD)"
04,04.99,Architecture.,Art and Architecture,no,"Architecture and Related Services, Other.",Instructional content is defined in code 04.9999.,,"Examples: - Architectural and Building Sciences/Technology (BArch, BA/BS), - Architectural and Building Sciences/Technology (MArch/MA/MS), - Architectural and Building Sciences/Technology (PhD)"
04,04.9999,Architecture.,Art and Architecture,no,"Architecture and Related Services, Other.",Any instructional program in architecture and related programs not listed above.,,"Examples: - Architectural and Building Sciences/Technology (BArch, BA/BS), - Architectural and Building Sciences/Technology (MArch/MA/MS), - Architectural and Building Sciences/Technology (PhD)"
05,05,Area Studies,Humanities,yes,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.","Instructional programs that focus on the defined areas, regions, and countries of the world; defined minority groups within and across societies; and issues relevant to collective gender and group experience.",,"Examples: - Architectural and Building Sciences/Technology (BArch, BA/BS), - Architectural and Building Sciences/Technology (MArch/MA/MS), - Architectural and Building Sciences/Technology (PhD)"
05,05.01,Area Studies,Humanities,no,Area Studies.,Instructional content for this group of programs is defined in codes 05.0101 - 05.0199.,,"Examples: - Architectural and Building Sciences/Technology (BArch, BA/BS), - Architectural and Building Sciences/Technology (MArch/MA/MS), - Architectural and Building Sciences/Technology (PhD)"
05,05.0101,Area Studies,Humanities,no,African Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the African Continent, usually with an emphasis on Africa south of the Sahara, and including the African diasporas overseas.",05.0201 - African-American/Black Studies.,"Examples: - Architectural and Building Sciences/Technology (BArch, BA/BS), - Architectural and Building Sciences/Technology (MArch/MA/MS), - Architectural and Building Sciences/Technology (PhD)"
05,05.0102,Area Studies,Humanities,no,American/United States Studies/Civilization.,"A program that focuses on the history, society, politics, culture, and economics of the United States and its Pre-Columbian and colonial predecessors, and including the flow of immigrants from other societies.",,"Examples: - Architectural and Building Sciences/Technology (BArch, BA/BS), - Architectural and Building Sciences/Technology (MArch/MA/MS), - Architectural and Building Sciences/Technology (PhD)"
05,05.0103,Area Studies,Humanities,no,Asian Studies/Civilization.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the Asian Continent, including the study of the Asian diasporas overseas.",05.0206 - Asian-American Studies.,"Examples: - Architectural and Building Sciences/Technology (BArch, BA/BS), - Architectural and Building Sciences/Technology (MArch/MA/MS), - Architectural and Building Sciences/Technology (PhD)"
05,05.0104,Area Studies,Humanities,no,East Asian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of East Asia, defined as including China, Korea, Japan, Mongolia, Taiwan, Tibet, related borderlands and island groups, and including the study of the East Asian diasporas overseas.",,"Examples: - Architectural and Building Sciences/Technology (BArch, BA/BS), - Architectural and Building Sciences/Technology (MArch/MA/MS), - Architectural and Building Sciences/Technology (PhD)"
05,05.0105,Area Studies,Humanities,yes,"Russian, Central European, East European and Eurasian Studies.","A program that focuses on the history, society, politics, culture, and economics of the region encompassing Russia, Central Europe, Eastern Europe, and Eurasia, including the Balkan, Baltic, Caucasus, and Central Asian states that were republics of the former Soviet Union.",05.0110 - Russian Studies.,"Examples: - Russian and East European Studies, - Central and Eastern European Studies, - CIS Studies"
05,05.0106,Area Studies,Humanities,no,European Studies/Civilization.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the European Continent, including the study of European migration patterns and colonial empires.",,"Examples: - Russian and East European Studies, - Central and Eastern European Studies, - CIS Studies"
05,05.0107,Area Studies,Humanities,no,Latin American Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the Hispanic peoples of the North and South American Continents outside Canada and the United States, including the study of the Pre-Columbian period and the flow of immigrants from other societies.","05.0203 - Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.","Examples: - Russian and East European Studies, - Central and Eastern European Studies, - CIS Studies"
05,05.0108,Area Studies,Humanities,no,Near and Middle Eastern Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of North Africa, Southwestern Asia, Asia Minor, and the Arabian Peninsula, related borderlands and island groups, and including emigrant and immigrant groups.","30.2202 - Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology.",Examples: - Modern Middle Eastern Studies
05,05.0109,Area Studies,Humanities,no,Pacific Area/Pacific Rim Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Australasia and the Pacific Ocean, related island groups and bordering coastal regions, and including pre- and post-colonial migration patterns.",,Examples: - Modern Middle Eastern Studies
05,05.0110,Area Studies,Humanities,no,Russian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the Russian Federation and its Soviet, Czarist, and medieval predecessors and related borderlands.","05.0105 - Russian, Central European, East European and Eurasian Studies.",Examples: - Modern Middle Eastern Studies
05,05.0111,Area Studies,Humanities,no,Scandinavian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Scandinavia, defined as Northern Europe including Denmark, Finland, Iceland, Norway, Sweden, related island groups (including Greenland), and borderlands.",,Examples: - Modern Middle Eastern Studies
05,05.0112,Area Studies,Humanities,no,South Asian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of South Asia, defined as including Afghanistan, India, the Maldives, Myanmar (Burma), Pakistan, and Sri Lanka and related borderlands and island groups; and including the study of migration patterns and overseas diasporas.",,Examples: - Modern Middle Eastern Studies
05,05.0113,Area Studies,Humanities,no,Southeast Asian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Southeast Asia, defined as including Brunei, Cambodia, Indonesia, Laos, Malaysia, The Philippines, Singapore, Thailand, and Viet Nam; related borderlands and island groups; and including the study of migration patterns and overseas diasporas.",,Examples: - Modern Middle Eastern Studies
05,05.0114,Area Studies,Humanities,no,Western European Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of historical Western Europe, defined as including Britain, Ireland, France, the Low Countries, the Iberian Peninsula, Italy, the Western Mediterranean, and related island groups and borderlands.",,Examples: - Modern Middle Eastern Studies
05,05.0115,Area Studies,Humanities,no,Canadian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Canada and its Pre-Columbian, colonial, and pre-federation predecessors, including immigrant flows and related borderlands and island groups.",,Examples: - Modern Middle Eastern Studies
05,05.0116,Area Studies,Humanities,no,Balkans Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples inhabiting the Balkan Peninsula and associated island groups and borderlands, Southern Slavic and non-Slavic, during the medieval, Ottoman, and modern periods.",,Examples: - Modern Middle Eastern Studies
05,05.0117,Area Studies,Humanities,no,Baltic Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples inhabiting the coastlands of the Baltic Sea, including Baltic, Germanic, Scandinavian, and Slavic populations, related borderlands and island groups, and problems of cultural survival and assimilation.",,Examples: - Modern Middle Eastern Studies
05,05.0118,Area Studies,Humanities,no,Slavic Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the Slavic peoples inhabiting Europe, Asia, and in immigrant groups elsewhere, including the study of the emergence and migration patterns of Slavic culture, languages, and populations.",,Examples: - Modern Middle Eastern Studies
05,05.0119,Area Studies,Humanities,no,Caribbean Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples inhabiting the major islands and archipelagoes of the Caribbean Sea and related coastal borderlands, including immigration patterns and Pre-Columbian, colonial, and modern societies.",,Examples: - Modern Middle Eastern Studies
05,05.0120,Area Studies,Humanities,no,Ural-Altaic and Central Asian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples and countries of Inner/Central Asia, including the Turkic and Mongolian inhabitants of the Caspian, Amur, Tien Shan, Baikal, Gobi, Siberian, and Manchurian areas and the historical Silk Road, in terms of their past and present development.",,Examples: - Modern Middle Eastern Studies
05,05.0121,Area Studies,Humanities,no,Commonwealth Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples and countries comprising components of the historical British Empire and modern British Commonwealth, including migration patterns, shared sociocultural and political features and problems, and contemporary relations.",,Examples: - Modern Middle Eastern Studies
05,05.0122,Area Studies,Humanities,no,"Regional Studies (U.S., Canadian, Foreign)","A program that focuses on the defined geographic subregions and subcultures within modern and historical countries and societies. Includes such topics as Acadian Studies, French Canadian and Quebec Studies, Southern (U.S.) Studies, Appalachian (U.S.) Studies, New England Studies, Southwestern Studies, Northern Studies, and others.",,Examples: - Modern Middle Eastern Studies
05,05.0123,Area Studies,Humanities,no,Chinese Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of present-day China and its historical predecessors, related borderlands and island groups, and the overseas Chinese diaspora.",,Examples: - Modern Middle Eastern Studies
05,05.0124,Area Studies,Humanities,no,French Studies.,"A program that focuses on the history, society, politics, culture, and economics of France, other Francophone countries inside and outside Europe, and the French colonial experience and the associated French minorities around the world.",,Examples: - Modern Middle Eastern Studies
05,05.0125,Area Studies,Humanities,no,German Studies.,"A program that focuses on the history, society, politics, culture, and economics of Germany, the neighboring countries of Austria and Switzerland, the German minorities in neighboring European countries, and the historical areas of German influence across Europe and overseas.",,Examples: - Modern Middle Eastern Studies
05,05.0126,Area Studies,Humanities,no,Italian Studies.,"A program that focuses on the history, society, politics, culture, and economics of modern Italy and its predecessors on the Italian Peninsula, including the overseas migrations of Italian peoples.",,Examples: - Modern Middle Eastern Studies
05,05.0127,Area Studies,Humanities,no,Japanese Studies.,"A program that focuses on the history, society, politics, culture, and economics of the peoples of Japan, and related island groups and coastal neighbors.",,Examples: - Modern Middle Eastern Studies
05,05.0128,Area Studies,Humanities,no,Korean Studies.,"A program that focuses on the history, society, politics, culture, and economics of the peoples of Korea, including related island groups and borderlands.",,Examples: - Modern Middle Eastern Studies
05,05.0129,Area Studies,Humanities,no,Polish Studies.,"A program that focuses on the history, society, politics, culture, and economics of Poland and the current and historical inhabitants of the Polish lands, including borderlands, from earliest times to the present.",,Examples: - Modern Middle Eastern Studies
05,05.0130,Area Studies,Humanities,no,Spanish and Iberian Studies.,"A program that focuses on the history, society, politics, culture, and economics of the peoples of the Iberian Peninsula and related island groups and border regions from earliest times to the present, with particular emphasis on the development of Spain and Portugal but including other historical and current cultures.",,Examples: - Modern Middle Eastern Studies
05,05.0131,Area Studies,Humanities,no,Tibetan Studies.,"A program that focuses on the history, society, politics, culture, and economics of Tibet and its borderlands, with emphasis on both pre-modern and modern Tibet and associated religious and exile movements.",,Examples: - Modern Middle Eastern Studies
05,05.0132,Area Studies,Humanities,no,Ukraine Studies.,"A program that focuses on the history, society, politics, culture, and economics of the Ukraine and its inhabitants, and related border regions, from earliest times to the present.",,Examples: - Modern Middle Eastern Studies
05,05.0133,Area Studies,Humanities,no,Irish Studies.,"A program that focuses on the history, society, politics, culture, and economics of Ireland and the Irish Diaspora, from the early Christian period to the present.",,Examples: - Modern Middle Eastern Studies
05,05.0134,Area Studies,Humanities,no,Latin American and Caribbean Studies.,"An integrated program that focuses on the history, society, politics, culture, and economics of the peoples and countries of the Latin American and Caribbean region.","05.0119 - Caribbean Studies., 05.0107 - Latin American Studies.",Examples: - Modern Middle Eastern Studies
05,05.0199,Area Studies,Humanities,no,"Area Studies, Other.",Any instructional program in specifically defined area studies not listed above.,,Examples: - Modern Middle Eastern Studies
05,05.02,Area Studies,Humanities,yes,"Ethnic, Cultural Minority, Gender, and Group Studies.",Instructional content for this group of programs is defined in codes 05.0200 - 05.0299.,,Examples: - Modern Middle Eastern Studies
05,05.0200,Area Studies,Humanities,no,Ethnic Studies.,"A program that focuses on the interdisciplinary and comparative study of the history, sociology, politics, culture, and economics of North American racial and ethnic groups, including African Americans, American Indians/Native Americans, Hispanic Americans, and Asian Americans.",30.2301 - Intercultural/Multicultural and Diversity Studies.,"Examples: - Comparative Ethnic Studies, - Race and Ethnicity"
05,05.0201,Area Studies,Humanities,no,African-American/Black Studies.,"A program that focuses on the history, sociology, politics, culture, and economics of the North American peoples descended from the African diaspora; focusing on the United States, Canada, and the Caribbean, but also including reference to Latin American elements of the diaspora.",05.0101 - African Studies.,"Examples: - Comparative Ethnic Studies, - Race and Ethnicity"
05,05.0202,Area Studies,Humanities,no,American Indian/Native American Studies.,"A program that focuses on the history, sociology, politics, culture, and economics of one or more of the American Indian, Aleut, Inuit, Hawaiian and other native peoples of the Americas from earliest times until the present, with particular emphasis on U.S. and Canadian populations and their problems but including reference to Caribbean and Latin American native peoples.",,"Examples: - Comparative Ethnic Studies, - Race and Ethnicity"
05,05.0203,Area Studies,Humanities,no,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.","A program that focuses on the history, sociology, politics, culture, and economics of one or more of the Hispanic American immigrant populations within the U.S. and Canada, including Mexican-American Studies, Cuban American Studies, Puerto Rican Studies, and others.",05.0107 - Latin American Studies.,"Examples: - Comparative Ethnic Studies, - Race and Ethnicity"
05,05.0206,Area Studies,Humanities,no,Asian-American Studies.,"A program that focuses on the history, sociology, politics, culture, and economics of Asian population groups who have immigrated to the United States and Canada, or sought refugee asylum, from the colonial period to the present, and including Chinese-Americans, Japanese-Americans, Korean-Americans, Vietnamese-Americans, Cambodian-Americans, and others.",05.0103 - Asian Studies/Civilization.,"Examples: - Comparative Ethnic Studies, - Race and Ethnicity"
05,05.0207,Area Studies,Humanities,no,Women's Studies.,"A program that focuses on the history, sociology, politics, culture, and economics of women, and the development of modern feminism in relation to the roles played by women in different periods and locations in North America and the world.  Programs may focus on literature, philosophy, and the arts as much as on social studies and policy.",,Examples: - Women's and Gender Studies
05,05.0208,Area Studies,Humanities,no,Gay/Lesbian Studies.,"A program that focuses on homosexuality in history, society, politics, and cultural life; usually with an emphasis on the modern emergence of gays and lesbians as a sociocultural minority movement, the identification of social, literary, and artistic themes and the definition of, and public policy and legal issues surrounding, the gay and lesbian community.",,Examples: - Women's and Gender Studies
05,05.0209,Area Studies,Humanities,no,Folklore Studies.,"A program that focuses on the study of creativity and aesthetic expression in everyday life, as expressed in narrative, literature, performing arts, culture, work, family and community.",,"Examples: - Folklore Studies, - Folklore and Mythology, - Folklore and Folklife"
05,05.0210,Area Studies,Humanities,no,Disability Studies.,"A program that focuses on the nature, meaning, and consequences of what it is to be defined as disabled and explores the historical, cultural, economic, physiological, and socio-political dynamics of disability. Includes instruction in disability rights, legal issues, and public policy; literature, philosophy, and the arts; and/or research in the social sciences, education, and health sciences addressing social and experiential aspects of disability.",,"Examples: - Folklore Studies, - Folklore and Mythology, - Folklore and Folklife"
05,05.0211,Area Studies,Humanities,no,Deaf Studies.,"A program that focuses on the sociological, historical and linguistic aspects of the deaf and hearing impaired, and that prepares individuals to work with the deaf and hearing impaired. Includes instruction in American Sign Language, deaf studies, American deaf culture, structure of American Sign Language, history of the American deaf community, and civil rights of deaf people.",16.1601 - American Sign Language (ASL).,"Examples: - Deaf Studies, - American Sign Language (ASL) and Deaf Studies"
05,05.0299,Area Studies,Humanities,yes,"Ethnic, Cultural Minority, Gender, and Group Studies, Other.","Any instructional program in ethnic, cultural minority, gender, and group studies not listed above.",,"Examples: - Women's, Gay and Lesbian Studies, Integrated"
05,05.99,Area Studies,Humanities,no,"Area, Ethnic, Cultural, and Gender Studies, Other.","Deleted, Report under 05.01, 05.02",,"Examples: - Women's, Gay and Lesbian Studies, Integrated"
05,05.9999,Area Studies,Humanities,no,"Area, Ethnic, Cultural, and Gender Studies, Other.","Deleted, Report under 05.01, 05.02",,"Examples: - Women's, Gay and Lesbian Studies, Integrated"
09,09,Communications,Pre-professional,no,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","Instructional programs that focus on how messages in various media are produced, used, and interpreted within and across different contexts, channels, and cultures, and that prepare individuals to apply communication knowledge and skills professionally.",,"Examples: - Women's, Gay and Lesbian Studies, Integrated"
09,09.01,Communications,Pre-professional,no,Communication and Media Studies.,Instructional content for this group of programs is defined in codes 09.0100 - 09.0199.,,"Examples: - Women's, Gay and Lesbian Studies, Integrated"
09,09.0100,Communications,Pre-professional,no,"Communication, General.","A program that focuses on the comprehensive study of communication, and that spans the study of  mass communication/media studies, old and new media technologies, social and political applications, and speech communication and rhetoric. Includes instruction in interpersonal, group, organizational, and intercultural communication; theories of communication; critical thinking, argumentation, and persuasion; written communication; printed, electronic, and digital media; rhetorical tradition and criticism; media, society, and culture; consequences and effects of mass media; media social science and criticism; and quantitative and qualitative methods of inquiry.",,Examples: - Communication
09,09.0101,Communications,Pre-professional,yes,Speech Communication and Rhetoric.,"A program that focuses on the scientific, humanistic, and critical study of human communication in a variety of formats, media, and contexts.  Includes instruction in the theory and practice of interpersonal, group, organizational, professional, and intercultural communication; speaking and listening; verbal and nonverbal interaction; rhetorical theory and criticism; performance studies; argumentation and persuasion; technologically mediated communication; popular culture; and various contextual applications.",23.1304 - Rhetoric and Composition.,Examples: - Communication
09,09.0102,Communications,Pre-professional,no,Mass Communication/Media Studies.,"A program that focuses on the analysis and criticism of media institutions and media texts, how people experience and understand media content, and the roles of media in producing and transforming culture.  Includes instruction in communications regulation, law, and policy; media history; media aesthetics, interpretation, and criticism; the social and cultural effects of mass media; cultural studies; the economics of media industries; visual and media literacy; and the psychology and behavioral aspects of media messages, interpretation, and utilization.",,Examples: - Media Studies
09,09.0199,Communications,Pre-professional,no,"Communication and Media Studies, Other.",Any instructional program in communication and media studies not listed above.,,Examples: - Media Studies
09,09.04,Communications,Pre-professional,no,Journalism.,Instructional content for this group of programs is defined in codes 09.0401 - 09.0499.,,Examples: - Media Studies
09,09.0401,Communications,Pre-professional,no,Journalism.,"A program that focuses on the theory and practice of gathering, processing, and delivering news and that prepares individuals to be professional print journalists, news editors, and news managers.  Includes instruction in news writing and editing; reporting; photojournalism; layout and graphic design; journalism law and policy; professional standards and ethics; research methods; and journalism history and criticism.",,Examples: - Media Studies
09,09.0402,Communications,Pre-professional,no,Broadcast Journalism.,"A program that focuses on the methods and techniques for reporting, producing, and delivering news and news programs via radio, television, and video/film media; and that prepares individuals to be professional broadcast journalists, editors, producers, directors, and managers.  Includes instruction in the principles of broadcast technology; broadcast reporting; on- and off-camera and microphone procedures and techniques; program, sound, and video/film editing; program design and production; media law and policy; and professional standards and ethics.",,Examples: - Media Studies
09,09.0404,Communications,Pre-professional,no,Photojournalism.,"A program that focuses on the use of still and motion photography in journalism and prepares individuals to function as news photographers and photographic editors.  Includes instruction in photography, journalism, studio procedures and techniques, camera and equipment operation and technique, news editing, print and film editing, news scene composition, subject surveillance, media law and policy, news team field operations, and professional standards and ethics.",50.0605 - Photography.,Examples: - Media Studies
09,09.0499,Communications,Pre-professional,no,"Journalism, Other.",Any instructional program in journalism not listed above.,,Examples: - Online Journalism
09,09.07,Communications,Pre-professional,no,"Radio, Television, and Digital Communication.",Instructional content for this group of programs is defined in codes 09.0701 - 09.0799.,,Examples: - Online Journalism
09,09.0701,Communications,Pre-professional,no,Radio and Television.,"A program that focuses on the theories, methods, and techniques used to plan, produce, and distribute audio and video programs and messages, and that prepares individuals to function as staff, producers, directors, and managers of radio and television shows and media organizations.  Includes instruction in media aesthetics; planning, scheduling, and production; writing and editing; performing and directing; personnel and facilities management; marketing and distribution; media regulations, law, and policy; and principles of broadcast technology.",,"Examples: - Radio, Television, and Film"
09,09.0702,Communications,Pre-professional,yes,Digital Communication and Media/Multimedia.,"A program that focuses on the development, use, critical evaluation, and regulation of new electronic communication technologies using computer applications; and that prepares individuals to function as developers and managers of digital communications media. Includes instruction in computer and telecommunications technologies and processes; design and development of digital communications; marketing and distribution; digital communications regulation, law, and policy; the study of human interaction with, and use of, digital media; and emerging trends and issues.",50.0102 - Digital Arts.,Examples: - Digital Media
09,09.0799,Communications,Pre-professional,no,"Radio, Television, and Digital Communication, Other.","Any instructional program in radio, television, and digital communications not listed above.",,Examples: - Digital Media
09,09.09,Communications,Pre-professional,no,"Public Relations, Advertising, and Applied Communication.",Instructional content for this group of programs is defined in codes 09.0900 - 09.0999.,,Examples: - Digital Media
09,09.0900,Communications,Pre-professional,no,"Public Relations, Advertising, and Applied Communication.","A general program that focuses on organizational communication, public relations, and advertising; and that prepares individuals to function in a wide range of public and private sector positions requiring the skills of persuasive communication. Includes instruction in communications, public relations, and advertising theory; principles and techniques of persuasion; message/image design; marketing strategy; professional writing; public speaking and multi-media presentation skills; digital communications; and applied research.","09.0902 - Public Relations/Image Management., 09.0903 - Advertising.","Examples: - Public Relations and Advertising, - Applied Communication"
09,09.0901,Communications,Pre-professional,no,"Organizational Communication, General.","A program that focuses on general communication processes and dynamics within organizations.  Includes instruction in the development and maintenance of interpersonal group relations within organizations; decision-making and conflict management; the use of symbols to create and maintain organizational images, missions, and values; power and politics within organizations; human interaction with computer technology; and how communications socializes and supports employees and team members.",52.1003 - Organizational Behavior Studies.,"Examples: - Public Relations and Advertising, - Applied Communication"
09,09.0902,Communications,Pre-professional,no,Public Relations/Image Management.,"A program that focuses on the theories and methods for managing the media image of a business, organization, or individual and the communication process with stakeholders, constituencies, audiences, and the general public; and that prepares individuals to function as public relations assistants, technicians, and managers.  Includes instruction in public relations theory; related principles of advertising, marketing, and journalism; message/image design; image management; special event management; media relations; community relations; public affairs; and internal communications.","09.0900 - Public Relations, Advertising, and Applied Communication.","Examples: - Public Relations and Advertising, - Applied Communication"
09,09.0903,Communications,Pre-professional,no,Advertising.,"A program that focuses on the creation, execution, transmission, and evaluation of commercial messages in various media intended to promote and sell products, services, and brands; and that prepares individuals  to function as advertising assistants, technicians, and managers.  Includes instruction in advertising theory, marketing strategy, advertising design and production methods, campaign methods and techniques, media management, related principles of business management, and applicable technical and equipment skills.","50.0402 - Commercial and Advertising Art., 09.0900 - Public Relations, Advertising, and Applied Communication.","Examples: - Public Relations and Advertising, - Applied Communication"
09,09.0904,Communications,Pre-professional,no,Political Communication.,"A program that focuses on human and media communication in the political process and that prepares individuals to function as members of political and public affairs organizations, political campaign staffs, and related government and media entities.  Includes instruction in media effects, political speaking and debating, political advertising and marketing, image management, political journalism, opinion polling, and aspects of print and broadcast media related to the production and distribution of media messages in political settings.",,"Examples: - Public Relations and Advertising, - Applied Communication"
09,09.0905,Communications,Pre-professional,no,Health Communication.,"A program that focuses on how people, individually and collectively, understand and accommodate to health and illness and the role of communication and media in shaping professional health care messages and public acceptance of these messages.  Includes instruction in the development and use of health-related and care-related messages and media; the goals and strategies of health care promotion; relationships, roles, situations, and social structures in the context of health maintenance and promotion; and applications to disease prevention, health advocacy, and communications concerning treatments.",,Examples: - Health and Health Science Communication
09,09.0906,Communications,Pre-professional,no,Sports Communication.,"A program that focuses on the methods and techniques for communicating about sports in a variety of formats, media, and contexts; and that prepares individuals to be sports reporters and writers, photojournalists, radio and television announcers, producers and directors, recreational sports promoters, and public relations specialists.  Includes instruction in sports writing, photography, broadcast journalism, sports production, game rules, media and public relations, and sports promotion.","31.0504 - Sport and Fitness Administration/Management., 31.0508 - Sports Studies.",Examples: - Health and Health Science Communication
09,09.0907,Communications,Pre-professional,no,International and Intercultural Communication.,"A program that focuses on the specialized knowledge and skills needed for effective communication in the international community and among people of different cultures; and that prepares individuals to function at the national and international levels as journalists, public relations specialists, travel industry representatives, intercultural trainers, and/or foreign service officers.  Includes instruction in journalism, communications, intercultural and international relations, marketing and public relations, and global communications policy.",30.2301 - Intercultural/Multicultural and Diversity Studies.,Examples: - Health and Health Science Communication
09,09.0908,Communications,Pre-professional,no,Technical and Scientific Communication.,"A program that focuses on the communication of technical and scientific knowledge to a variety of audiences through print, video, and digital media; and that prepares individuals to function as technical writers and editors, documentation developers, web designers, and usability specialists. Includes instruction in scientific and technical writing and editing, graphic and information design, web design, audience analysis, document usability and field testing, publications management, and applications to specific technical fields.","23.1303 - Professional, Technical, Business, and Scientific Writing.","Examples: - Technical Communication, - Scientific Communication"
