"CIPCode2000","CIPTitle2000","Action","Text change","CIPCode2010","CIPTitle2010"
="14.3301","Construction Engineering.","No substantive changes",no,="14.3301","Construction Engineering."
="14.34","Forest Engineering.","No substantive changes",no,="14.34","Forest Engineering."
="14.3401","Forest Engineering.","No substantive changes",no,="14.3401","Forest Engineering."
="14.35","Industrial Engineering.","No substantive changes",no,="14.35","Industrial Engineering."
="14.3501","Industrial Engineering.","No substantive changes",no,="14.3501","Industrial Engineering."
="14.36","Manufacturing Engineering.","No substantive changes",no,="14.36","Manufacturing Engineering."
="14.3601","Manufacturing Engineering.","No substantive changes",no,="14.3601","Manufacturing Engineering."
="14.37","Operations Research.","No substantive changes",no,="14.37","Operations Research."
="14.3701","Operations Research.","No substantive changes",no,="14.3701","Operations Research."
="14.38","Surveying Engineering.","No substantive changes",no,="14.38","Surveying Engineering."
="14.3801","Surveying Engineering.","No substantive changes",no,="14.3801","Surveying Engineering."
="14.39","Geological/Geophysical Engineering.","No substantive changes",no,="14.39","Geological/Geophysical Engineering."
="14.3901","Geological/Geophysical Engineering.","No substantive changes",no,="14.3901","Geological/Geophysical Engineering."
"","","New",no,="14.40","Paper Science and Engineering."
"","","New",no,="14.4001","Paper Science and Engineering."
"","","New",no,="14.41","Electromechanical Engineering."
"","","New",no,="14.4101","Electromechanical Engineering."
"","","New",no,="14.42","Mechatronics, Robotics, and Automation Engineering."
"","","New",no,="14.4201","Mechatronics, Robotics, and Automation Engineering."
"","","New",no,="14.43","Biochemical Engineering."
"","","New",no,="14.4301","Biochemical Engineering."
"","","New",no,="14.44","Engineering Chemistry."
"","","New",no,="14.4401","Engineering Chemistry."
"","","New",no,="14.45","Biological/Biosystems Engineering."
"","","New",no,="14.4501","Biological/Biosystems Engineering."
="14.99","Engineering, Other.","No substantive changes",no,="14.99","Engineering, Other."
="14.9999","Engineering, Other.","No substantive changes",no,="14.9999","Engineering, Other."
="15","ENGINEERING TECHNOLOGIES/TECHNICIANS.","No substantive changes",yes,="15","ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS."
="15.00","Engineering Technology, General.","No substantive changes",no,="15.00","Engineering Technology, General."
="15.0000","Engineering Technology, General.","No substantive changes",no,="15.0000","Engineering Technology, General."
="15.01","Architectural Engineering Technologies/Technicians.","No substantive changes",no,="15.01","Architectural Engineering Technologies/Technicians."
="15.0101","Architectural Engineering Technology/Technician.","No substantive changes",no,="15.0101","Architectural Engineering Technology/Technician."
="15.02","Civil Engineering Technologies/Technicians.","No substantive changes",no,="15.02","Civil Engineering Technologies/Technicians."
="15.0201","Civil Engineering Technology/Technician.","No substantive changes",no,="15.0201","Civil Engineering Technology/Technician."
="15.03","Electrical Engineering Technologies/Technicians.","No substantive changes",no,="15.03","Electrical Engineering Technologies/Technicians."
="15.0303","Electrical, Electronic and Communications Engineering Technology/Technician.","No substantive changes",no,="15.0303","Electrical, Electronic and Communications Engineering Technology/Technician."
="15.0304","Laser and Optical Technology/Technician.","No substantive changes",no,="15.0304","Laser and Optical Technology/Technician."
="15.0305","Telecommunications Technology/Technician.","No substantive changes",no,="15.0305","Telecommunications Technology/Technician."
"","","New",no,="15.0306","Integrated Circuit Design."
="15.0399","Electrical and Electronic Engineering Technologies/Technicians, Other.","No substantive changes",no,="15.0399","Electrical and Electronic Engineering Technologies/Technicians, Other."
="15.04","Electromechanical Instrumentation and Maintenance Technologies/Technicians.","No substantive changes",no,="15.04","Electromechanical Instrumentation and Maintenance Technologies/Technicians."
="15.0401","Biomedical Technology/Technician.","No substantive changes",no,="15.0401","Biomedical Technology/Technician."
="15.0403","Electromechanical Technology/Electromechanical Engineering Technology.","No substantive changes",no,="15.0403","Electromechanical Technology/Electromechanical Engineering Technology."
="15.0404","Instrumentation Technology/Technician.","No substantive changes",no,="15.0404","Instrumentation Technology/Technician."
="15.0405","Robotics Technology/Technician.","No substantive changes",no,="15.0405","Robotics Technology/Technician."
"","","New",no,="15.0406","Automation Engineer Technology/Technician."
="15.0499","Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other.","No substantive changes",no,="15.0499","Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other."
="15.05","Environmental Control Technologies/Technicians.","No substantive changes",no,="15.05","Environmental Control Technologies/Technicians."
="15.0501","Heating, Air Conditioning and Refrigeration Technology/Technician (ACH/ACR/ACHR/HRAC/HVAC/AC Technology).","No substantive changes",yes,="15.0501","Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician."
="15.0503","Energy Management and Systems Technology/Technician.","No substantive changes",no,="15.0503","Energy Management and Systems Technology/Technician."
="15.0505","Solar Energy Technology/Technician.","No substantive changes",no,="15.0505","Solar Energy Technology/Technician."
="15.0506","Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.","No substantive changes",no,="15.0506","Water Quality and Wastewater Treatment Management and Recycling Technology/Technician."
="15.0507","Environmental Engineering Technology/Environmental Technology.","No substantive changes",no,="15.0507","Environmental Engineering Technology/Environmental Technology."
="15.0508","Hazardous Materials Management and Waste Technology/Technician.","No substantive changes",no,="15.0508","Hazardous Materials Management and Waste Technology/Technician."
="15.0599","Environmental Control Technologies/Technicians, Other.","No substantive changes",no,="15.0599","Environmental Control Technologies/Technicians, Other."
="15.06","Industrial Production Technologies/Technicians.","No substantive changes",no,="15.06","Industrial Production Technologies/Technicians."
="15.0607","Plastics Engineering Technology/Technician.","No substantive changes",yes,="15.0607","Plastics and Polymer Engineering Technology/Technician."
="15.0611","Metallurgical Technology/Technician.","No substantive changes",no,="15.0611","Metallurgical Technology/Technician."
="15.0612","Industrial Technology/Technician.","No substantive changes",no,="15.0612","Industrial Technology/Technician."
="15.0613","Manufacturing Technology/Technician.","No substantive changes",yes,="15.0613","Manufacturing Engineering Technology/Technician."
"","","New",no,="15.0614","Welding Engineering Technology/Technician."
"","","New",no,="15.0615","Chemical Engineering Technology/Technician."
"","","New",no,="15.0616","Semiconductor Manufacturing Technology."
="15.0699","Industrial Production Technologies/Technicians, Other.","No substantive changes",no,="15.0699","Industrial Production Technologies/Technicians, Other."
="15.07","Quality Control and Safety Technologies/Technicians.","No substantive changes",no,="15.07","Quality Control and Safety Technologies/Technicians."
="15.0701","Occupational Safety and Health Technology/Technician.","No substantive changes",no,="15.0701","Occupational Safety and Health Technology/Technician."
="15.0702","Quality Control Technology/Technician.","No substantive changes",no,="15.0702","Quality Control Technology/Technician."
="15.0703","Industrial Safety Technology/Technician.","No substantive changes",no,="15.0703","Industrial Safety Technology/Technician."
="15.0704","Hazardous Materials Information Systems Technology/Technician.","No substantive changes",no,="15.0704","Hazardous Materials Information Systems Technology/Technician."
="15.0799","Quality Control and Safety Technologies/Technicians, Other.","No substantive changes",no,="15.0799","Quality Control and Safety Technologies/Technicians, Other."
="15.08","Mechanical Engineering Related Technologies/Technicians.","No substantive changes",no,="15.08","Mechanical Engineering Related Technologies/Technicians."
="15.0801","Aeronautical/Aerospace Engineering Technology/Technician.","No substantive changes",no,="15.0801","Aeronautical/Aerospace Engineering Technology/Technician."
="15.0803","Automotive Engineering Technology/Technician.","No substantive changes",no,="15.0803","Automotive Engineering Technology/Technician."
="15.0805","Mechanical Engineering/Mechanical Technology/Technician.","No substantive changes",no,="15.0805","Mechanical Engineering/Mechanical Technology/Technician."
="15.0899","Mechanical Engineering Related Technologies/Technicians, Other.","No substantive changes",no,="15.0899","Mechanical Engineering Related Technologies/Technicians, Other."
="15.09","Mining and Petroleum Technologies/Technicians.","No substantive changes",no,="15.09","Mining and Petroleum Technologies/Technicians."
="15.0901","Mining Technology/Technician.","No substantive changes",no,="15.0901","Mining Technology/Technician."
="15.0903","Petroleum Technology/Technician.","No substantive changes",no,="15.0903","Petroleum Technology/Technician."
="15.0999","Mining and Petroleum Technologies/Technicians, Other.","No substantive changes",no,="15.0999","Mining and Petroleum Technologies/Technicians, Other."
="15.10","Construction Engineering Technologies.","No substantive changes",no,="15.10","Construction Engineering Technologies."
="15.1001","Construction Engineering Technology/Technician.","No substantive changes",no,="15.1001","Construction Engineering Technology/Technician."
="15.11","Engineering-Related Technologies.","No substantive changes",no,="15.11","Engineering-Related Technologies."
="15.1102","Surveying Technology/Surveying.","No substantive changes",no,="15.1102","Surveying Technology/Surveying."
="15.1103","Hydraulics and Fluid Power Technology/Technician.","No substantive changes",no,="15.1103","Hydraulics and Fluid Power Technology/Technician."
="15.1199","Engineering-Related Technologies, Other.","No substantive changes",no,="15.1199","Engineering-Related Technologies, Other."
="15.12","Computer Engineering Technologies/Technicians.","No substantive changes",no,="15.12","Computer Engineering Technologies/Technicians."
="15.1201","Computer Engineering Technology/Technician.","No substantive changes",no,="15.1201","Computer Engineering Technology/Technician."
="15.1202","Computer Technology/Computer Systems Technology.","No substantive changes",no,="15.1202","Computer Technology/Computer Systems Technology."
="15.1203","Computer Hardware Technology/Technician.","No substantive changes",no,="15.1203","Computer Hardware Technology/Technician."
="15.1204","Computer Software Technology/Technician.","No substantive changes",no,="15.1204","Computer Software Technology/Technician."
="15.1299","Computer Engineering Technologies/Technicians, Other.","No substantive changes",no,="15.1299","Computer Engineering Technologies/Technicians, Other."
="15.13","Drafting/Design Engineering Technologies/Technicians.","No substantive changes",no,="15.13","Drafting/Design Engineering Technologies/Technicians."
="15.1301","Drafting and Design Technology/Technician, General.","No substantive changes",no,="15.1301","Drafting and Design Technology/Technician, General."
="15.1302","CAD/CADD Drafting and/or Design Technology/Technician.","No substantive changes",no,="15.1302","CAD/CADD Drafting and/or Design Technology/Technician."
="15.1303","Architectural Drafting and Architectural CAD/CADD.","No substantive changes",no,="15.1303","Architectural Drafting and Architectural CAD/CADD."
="15.1304","Civil Drafting and Civil Engineering CAD/CADD.","No substantive changes",no,="15.1304","Civil Drafting and Civil Engineering CAD/CADD."
="15.1305","Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD.","No substantive changes",no,="15.1305","Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD."
="15.1306","Mechanical Drafting and Mechanical Drafting CAD/CADD.","No substantive changes",no,="15.1306","Mechanical Drafting and Mechanical Drafting CAD/CADD."
="15.1399","Drafting/Design Engineering Technologies/Technicians, Other.","No substantive changes",no,="15.1399","Drafting/Design Engineering Technologies/Technicians, Other."
="15.14","Nuclear Engineering Technologies/Technicians.","No substantive changes",no,="15.14","Nuclear Engineering Technologies/Technicians."
="15.1401","Nuclear Engineering Technology/Technician.","No substantive changes",no,="15.1401","Nuclear Engineering Technology/Technician."
="15.15","Engineering-Related Fields.","No substantive changes",no,="15.15","Engineering-Related Fields."
="15.1501","Engineering/Industrial Management.","No substantive changes",no,="15.1501","Engineering/Industrial Management."
"","","New",no,="15.1502","Engineering Design."
"","","New",no,="15.1503","Packaging Science."
"","","New",no,="15.1599","Engineering-Related Fields, Other."
"","","New",no,="15.16","Nanotechnology."
"","","New",no,="15.1601","Nanotechnology."
="15.99","Engineering Technologies/Technicians, Other.","No substantive changes",no,="15.99","Engineering Technologies/Technicians, Other."
="15.9999","Engineering Technologies/Technicians, Other.","No substantive changes",yes,="15.9999","Engineering Technologies and Engineering-Related Fields, Other."
="16","FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","No substantive changes",no,="16","FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
="16.01","Linguistic, Comparative, and Related Language Studies and Services.","No substantive changes",no,="16.01","Linguistic, Comparative, and Related Language Studies and Services."
="16.0101","Foreign Languages and Literatures, General.","No substantive changes",no,="16.0101","Foreign Languages and Literatures, General."
="16.0102","Linguistics.","No substantive changes",no,="16.0102","Linguistics."
="16.0103","Language Interpretation and Translation.","No substantive changes",no,="16.0103","Language Interpretation and Translation."
="16.0104","Comparative Literature.","No substantive changes",no,="16.0104","Comparative Literature."
"","","New",no,="16.0105","Applied Linguistics."
="16.0199","Linguistic, Comparative, and Related Language Studies and Services, Other.","No substantive changes",no,="16.0199","Linguistic, Comparative, and Related Language Studies and Services, Other."
="16.02","African Languages, Literatures, and Linguistics.","No substantive changes",no,="16.02","African Languages, Literatures, and Linguistics."
="16.0201","African Languages, Literatures, and Linguistics.","No substantive changes",yes,="16.0201","African Languages, Literatures, and Linguistics."
="16.03","East Asian Languages, Literatures, and Linguistics.","No substantive changes",no,="16.03","East Asian Languages, Literatures, and Linguistics."
="16.0300","East Asian Languages, Literatures, and Linguistics, General.","No substantive changes",yes,="16.0300","East Asian Languages, Literatures, and Linguistics, General."
="16.0301","Chinese Language and Literature.","No substantive changes",no,="16.0301","Chinese Language and Literature."
="16.0302","Japanese Language and Literature.","No substantive changes",no,="16.0302","Japanese Language and Literature."
="16.0303","Korean Language and Literature.","No substantive changes",no,="16.0303","Korean Language and Literature."
="16.0304","Tibetan Language and Literature.","No substantive changes",no,="16.0304","Tibetan Language and Literature."
="16.0399","East Asian Languages, Literatures, and Linguistics, Other.","No substantive changes",no,="16.0399","East Asian Languages, Literatures, and Linguistics, Other."
="16.04","Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.","No substantive changes",no,="16.04","Slavic, Baltic and Albanian Languages, Literatures, and Linguistics."
="16.0400","Slavic Languages, Literatures, and Linguistics, General.","No substantive changes",no,="16.0400","Slavic Languages, Literatures, and Linguistics, General."
="16.0401","Baltic Languages, Literatures, and Linguistics.","No substantive changes",yes,="16.0401","Baltic Languages, Literatures, and Linguistics."
="16.0402","Russian Language and Literature.","No substantive changes",no,="16.0402","Russian Language and Literature."
="16.0404","Albanian Language and Literature.","No substantive changes",no,="16.0404","Albanian Language and Literature."
="16.0405","Bulgarian Language and Literature.","No substantive changes",no,="16.0405","Bulgarian Language and Literature."
="16.0406","Czech Language and Literature.","No substantive changes",no,="16.0406","Czech Language and Literature."
="16.0407","Polish Language and Literature.","No substantive changes",no,="16.0407","Polish Language and Literature."
="16.0408","Serbian, Croatian, and Serbo-Croatian Languages and Literatures.","No substantive changes",yes,="16.0408","Bosnian, Serbian, and Croatian Languages and Literatures."
="16.0409","Slovak Language and Literature.","No substantive changes",no,="16.0409","Slovak Language and Literature."
="16.0410","Ukrainian Language and Literature.","No substantive changes",no,="16.0410","Ukrainian Language and Literature."
="16.0499","Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other.","No substantive changes",no,="16.0499","Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other."
="16.05","Germanic Languages, Literatures, and Linguistics.","No substantive changes",no,="16.05","Germanic Languages, Literatures, and Linguistics."
="16.0500","Germanic Languages, Literatures, and Linguistics, General.","No substantive changes",no,="16.0500","Germanic Languages, Literatures, and Linguistics, General."
="16.0501","German Language and Literature.","No substantive changes",yes,="16.0501","German Language and Literature."
="16.0502","Scandinavian Languages, Literatures, and Linguistics.","No substantive changes",no,="16.0502","Scandinavian Languages, Literatures, and Linguistics."
="16.0503","Danish Language and Literature.","No substantive changes",yes,="16.0503","Danish Language and Literature."
="16.0504","Dutch/Flemish Language and Literature.","No substantive changes",yes,="16.0504","Dutch/Flemish Language and Literature."
="16.0505","Norwegian Language and Literature.","No substantive changes",no,="16.0505","Norwegian Language and Literature."
="16.0506","Swedish Language and Literature.","No substantive changes",yes,="16.0506","Swedish Language and Literature."
="16.0599","Germanic Languages, Literatures, and Linguistics, Other.","No substantive changes",no,="16.0599","Germanic Languages, Literatures, and Linguistics, Other."
="16.06","Modern Greek Language and Literature.","No substantive changes",no,="16.06","Modern Greek Language and Literature."
="16.0601","Modern Greek Language and Literature.","No substantive changes",no,="16.0601","Modern Greek Language and Literature."
="16.07","South Asian Languages, Literatures, and Linguistics.","No substantive changes",no,="16.07","South Asian Languages, Literatures, and Linguistics."
="16.0700","South Asian Languages, Literatures, and Linguistics, General.","No substantive changes",no,="16.0700","South Asian Languages, Literatures, and Linguistics, General."
="16.0701","Hindi Language and Literature.","No substantive changes",yes,="16.0701","Hindi Language and Literature."
="16.0702","Sanskrit and Classical Indian Languages, Literatures, and Linguistics.","No substantive changes",no,="16.0702","Sanskrit and Classical Indian Languages, Literatures, and Linguistics."
="16.0704","Bengali Language and Literature.","No substantive changes",no,="16.0704","Bengali Language and Literature."
="16.0705","Punjabi Language and Literature.","No substantive changes",no,="16.0705","Punjabi Language and Literature."
="16.0706","Tamil Language and Literature.","No substantive changes",no,="16.0706","Tamil Language and Literature."
="16.0707","Urdu Language and Literature.","No substantive changes",no,="16.0707","Urdu Language and Literature."
="16.0799","South Asian Languages, Literatures, and Linguistics, Other.","No substantive changes",no,="16.0799","South Asian Languages, Literatures, and Linguistics, Other."
="16.08","Iranian/Persian Languages, Literatures, and Linguistics.","No substantive changes",no,="16.08","Iranian/Persian Languages, Literatures, and Linguistics."
="16.0801","Iranian/Persian Languages, Literatures, and Linguistics.","No substantive changes",yes,="16.0801","Iranian Languages, Literatures, and Linguistics."
="16.09","Romance Languages, Literatures, and Linguistics.","No substantive changes",no,="16.09","Romance Languages, Literatures, and Linguistics."
="16.0900","Romance Languages, Literatures, and Linguistics, General.","No substantive changes",no,="16.0900","Romance Languages, Literatures, and Linguistics, General."
="16.0901","French Language and Literature.","No substantive changes",no,="16.0901","French Language and Literature."
="16.0902","Italian Language and Literature.","No substantive changes",no,="16.0902","Italian Language and Literature."
="16.0904","Portuguese Language and Literature.","No substantive changes",no,="16.0904","Portuguese Language and Literature."
="16.0905","Spanish Language and Literature.","No substantive changes",no,="16.0905","Spanish Language and Literature."
="16.0906","Romanian Language and Literature.","No substantive changes",no,="16.0906","Romanian Language and Literature."
="16.0907","Catalan Language and Literature.","No substantive changes",no,="16.0907","Catalan Language and Literature."
"","","New",no,="16.0908","Hispanic and Latin American Languages, Literatures, and Linguistics, General."
="16.0999","Romance Languages, Literatures, and Linguistics, Other.","No substantive changes",no,="16.0999","Romance Languages, Literatures, and Linguistics, Other."
="16.10","American Indian/Native American Languages, Literatures, and Linguistics.","No substantive changes",no,="16.10","American Indian/Native American Languages, Literatures, and Linguistics."
="16.1001","American Indian/Native American Languages, Literatures, and Linguistics.","No substantive changes",yes,="16.1001","American Indian/Native American Languages, Literatures, and Linguistics."
="16.11","Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.","No substantive changes",no,="16.11","Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics."
="16.1100","Semitic Languages, Literatures, and Linguistics, General.","No substantive changes",yes,="16.1100","Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, General."
="16.1101","Arabic Language and Literature.","No substantive changes",yes,="16.1101","Arabic Language and Literature."
="16.1102","Hebrew Language and Literature.","No substantive changes",yes,="16.1102","Hebrew Language and Literature."
="16.1103","Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.","No substantive changes",yes,="16.1103","Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics."
="16.1199","Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other.","No substantive changes",no,="16.1199","Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other."
="16.12","Classics and Classical Languages, Literatures, and Linguistics.","No substantive changes",no,="16.12","Classics and Classical Languages, Literatures, and Linguistics."
="16.1200","Classics and Classical Languages, Literatures, and Linguistics, General.","No substantive changes",no,="16.1200","Classics and Classical Languages, Literatures, and Linguistics, General."
="16.1202","Ancient/Classical Greek Language and Literature.","No substantive changes",no,="16.1202","Ancient/Classical Greek Language and Literature."
="16.1203","Latin Language and Literature.","No substantive changes",no,="16.1203","Latin Language and Literature."
="16.1299","Classics and Classical Languages, Literatures, and Linguistics, Other.","No substantive changes",no,="16.1299","Classics and Classical Languages, Literatures, and Linguistics, Other."
="16.13","Celtic Languages, Literatures, and Linguistics.","No substantive changes",no,="16.13","Celtic Languages, Literatures, and Linguistics."
="16.1301","Celtic Languages, Literatures, and Linguistics.","No substantive changes",yes,="16.1301","Celtic Languages, Literatures, and Linguistics."
="16.14","Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics.","No substantive changes",no,="16.14","Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics."
="16.1400","Southeast Asian Languages, Literatures, and Linguistics, General.","No substantive changes",yes,="16.1400","Southeast Asian Languages, Literatures, and Linguistics, General."
="16.1401","Australian/Oceanic/Pacific Languages, Literatures, and Linguistics.","No substantive changes",yes,="16.1401","Australian/Oceanic/Pacific Languages, Literatures, and Linguistics."
="16.1402","Bahasa Indonesian/Bahasa Malay Languages and Literatures.","No substantive changes",yes,="16.1402","Indonesian/Malay Languages and Literatures."
="16.1403","Burmese Language and Literature.","No substantive changes",no,="16.1403","Burmese Language and Literature."
="16.1404","Filipino/Tagalog Language and Literature.","No substantive changes",no,="16.1404","Filipino/Tagalog Language and Literature."
="16.1405","Khmer/Cambodian Language and Literature.","No substantive changes",no,="16.1405","Khmer/Cambodian Language and Literature."
="16.1406","Lao/Laotian Language and Literature.","No substantive changes",no,="16.1406","Lao Language and Literature."
="16.1407","Thai Language and Literature.","No substantive changes",no,="16.1407","Thai Language and Literature."
="16.1408","Vietnamese Language and Literature.","No substantive changes",no,="16.1408","Vietnamese Language and Literature."
="16.1499","Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics, Other.","No substantive changes",no,="16.1499","Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics, Other."
="16.15","Turkic, Ural-Altaic, Caucasian, and Central Asian Languages, Literatures, and Lingustics.","No substantive changes",no,="16.15","Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics."
="16.1501","Turkish Language and Literature.","No substantive changes",no,="16.1501","Turkish Language and Literature."
="16.1502","Finnish and Related Languages, Literatures, and Linguistics.","No substantive changes",yes,="16.1502","Uralic Languages, Literatures, and Linguistics."
="16.1503","Hungarian/Magyar Language and Literature.","No substantive changes",no,="16.1503","Hungarian/Magyar Language and Literature."
="16.1504","Mongolian Language and Literature.","No substantive changes",no,="16.1504","Mongolian Language and Literature."
="16.1599","Turkic, Ural-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics, Other.","No substantive changes",no,="16.1599","Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics, Other."
="16.16","American Sign Language.","No substantive changes",no,="16.16","American Sign Language."
="16.1601","American Sign Language (ASL).","No substantive changes",no,="16.1601","American Sign Language (ASL)."
="16.1602","Linguistics of ASL and Other Sign Languages.","No substantive changes",yes,="16.1602","Linguistics of ASL and Other Sign Languages."
="16.1603","Sign Language Interpretation and Translation.","No substantive changes",no,="16.1603","Sign Language Interpretation and Translation."
="16.1699","American Sign Language, Other.","No substantive changes",no,="16.1699","American Sign Language, Other."
="16.99","Foreign Languages, Literatures, and Linguistics, Other.","No substantive changes",no,="16.99","Foreign Languages, Literatures, and Linguistics, Other."
="16.9999","Foreign Languages, Literatures, and Linguistics, Other.","No substantive changes",no,="16.9999","Foreign Languages, Literatures, and Linguistics, Other."
="19","FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.","No substantive changes",no,="19","FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES."
="19.00","Work and Family Studies.","No substantive changes",no,="19.00","Work and Family Studies."
="19.0000","Work and Family Studies.","No substantive changes",no,="19.0000","Work and Family Studies."
="19.01","Family and Consumer Sciences/Human Sciences, General.","No substantive changes",no,="19.01","Family and Consumer Sciences/Human Sciences, General."
="19.0101","Family and Consumer Sciences/Human Sciences, General.","No substantive changes",no,="19.0101","Family and Consumer Sciences/Human Sciences, General."
="19.02","Family and Consumer Sciences/Human Sciences Business Services.","No substantive changes",no,="19.02","Family and Consumer Sciences/Human Sciences Business Services."
="19.0201","Business Family and Consumer Sciences/Human Sciences.","No substantive changes",no,="19.0201","Business Family and Consumer Sciences/Human Sciences."
="19.0202","Family and Consumer Sciences/Human Sciences Communication.","No substantive changes",no,="19.0202","Family and Consumer Sciences/Human Sciences Communication."
="19.0203","Consumer Merchandising/Retailing Management.","No substantive changes",no,="19.0203","Consumer Merchandising/Retailing Management."
="19.0299","Family and Consumer Sciences/Human Sciences Business Services, Other.","No substantive changes",no,="19.0299","Family and Consumer Sciences/Human Sciences Business Services, Other."
="19.04","Family and Consumer Economics and Related Studies.","No substantive changes",no,="19.04","Family and Consumer Economics and Related Studies."
="19.0401","Family Resource Management Studies, General.","No substantive changes",no,="19.0401","Family Resource Management Studies, General."
="19.0402","Consumer Economics.","No substantive changes",no,="19.0402","Consumer Economics."
="19.0403","Consumer Services and Advocacy.","No substantive changes",no,="19.0403","Consumer Services and Advocacy."
="19.0499","Family and Consumer Economics and Related Services, Other.","No substantive changes",no,="19.0499","Family and Consumer Economics and Related Services, Other."
="19.05","Foods, Nutrition, and Related Services.","No substantive changes",no,="19.05","Foods, Nutrition, and Related Services."
="19.0501","Foods, Nutrition, and Wellness Studies, General.","No substantive changes",no,="19.0501","Foods, Nutrition, and Wellness Studies, General."
="19.0504","Human Nutrition.","No substantive changes",no,="19.0504","Human Nutrition."
="19.0505","Foodservice Systems Administration/Management.","No substantive changes",no,="19.0505","Foodservice Systems Administration/Management."
="19.0599","Foods, Nutrition, and Related Services, Other.","No substantive changes",no,="19.0599","Foods, Nutrition, and Related Services, Other."
="19.06","Housing and Human Environments.","No substantive changes",no,="19.06","Housing and Human Environments."
="19.0601","Housing and Human Environments, General.","No substantive changes",no,="19.0601","Housing and Human Environments, General."
="19.0604","Facilities Planning and Management.","No substantive changes",no,="19.0604","Facilities Planning and Management."
="19.0605","Home Furnishings and Equipment Installers.","No substantive changes",no,="19.0605","Home Furnishings and Equipment Installers."
="19.0699","Housing and Human Environments, Other.","No substantive changes",no,="19.0699","Housing and Human Environments, Other."
="19.07","Human Development, Family Studies, and Related Services.","No substantive changes",no,="19.07","Human Development, Family Studies, and Related Services."
="19.0701","Human Development and Family Studies, General.","No substantive changes",no,="19.0701","Human Development and Family Studies, General."
="19.0702","Adult Development and Aging.","No substantive changes",no,="19.0702","Adult Development and Aging."
="19.0704","Family Systems.","No substantive changes",no,="19.0704","Family Systems."
="19.0706","Child Development.","No substantive changes",no,="19.0706","Child Development."
="19.0707","Family and Community Services.","No substantive changes",no,="19.0707","Family and Community Services."
="19.0708","Child Care and Support Services Management.","No substantive changes",no,="19.0708","Child Care and Support Services Management."
="19.0709","Child Care Provider/Assistant.","No substantive changes",no,="19.0709","Child Care Provider/Assistant."
"","","New",no,="19.0710","Developmental Services Worker."
="19.0799","Human Development, Family Studies, and Related Services, Other.","No substantive changes",no,="19.0799","Human Development, Family Studies, and Related Services, Other."
="19.09","Apparel and Textiles.","No substantive changes",no,="19.09","Apparel and Textiles."
="19.0901","Apparel and Textiles, General.","No substantive changes",no,="19.0901","Apparel and Textiles, General."
="19.0902","Apparel and Textile Manufacture.","No substantive changes",no,="19.0902","Apparel and Textile Manufacture."
="19.0904","Textile Science.","No substantive changes",no,="19.0904","Textile Science."
="19.0905","Apparel and Textile Marketing Management.","No substantive changes",no,="19.0905","Apparel and Textile Marketing Management."
="19.0906","Fashion and Fabric Consultant.","No substantive changes",no,="19.0906","Fashion and Fabric Consultant."
="19.0999","Apparel and Textiles, Other.","No substantive changes",no,="19.0999","Apparel and Textiles, Other."
="19.99","Family and Consumer Sciences/Human Sciences, Other.","No substantive changes",no,="19.99","Family and Consumer Sciences/Human Sciences, Other."
="19.9999","Family and Consumer Sciences/Human Sciences, Other.","No substantive changes",no,="19.9999","Family and Consumer Sciences/Human Sciences, Other."
="21","TECHNOLOGY EDUCATION/INDUSTRIAL ARTS.","Deleted",no,="21","Deleted"
="21.01","Technology Education/Industrial Arts Programs.","Deleted",no,="21.01","Deleted"
="21.0101","Technology Education/Industrial Arts.","Deleted",no,="21.0101","Deleted"
="22","LEGAL PROFESSIONS AND STUDIES.","No substantive changes",no,="22","LEGAL PROFESSIONS AND STUDIES."
