CIPCODE,CIPTitle,Discipline,Historical Categories,Associates, Bachelors,Masters,Doctoral
14.2201,Naval Architecture and Marine Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.2301,Nuclear Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.2401,Ocean Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.2501,Petroleum Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.2701,Systems Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.2801,Textile Sciences and Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.3201,Polymer/Plastics Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.3301,Construction Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.3401,Forest Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.3501,Industrial Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.3588,Industrial/Manufacturing Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.3601,Manufacturing Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.3701,Operations Research,Business & Management,,Professional/Vocational,Business & Management,Business & Management,Business & Management
14.3801,Surveying Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.3901,Geological/Geophysical Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.4001,Paper Science and Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.4101,Electromechanical Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.4201,"Mechatronics, Robotics, and Automation Engineering",Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.4301,Biochemical Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.4401,Engineering Chemistry,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.4501,Biological/Biosystems Engineering,Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
14.9999,"Engineering, Other",Engineering,,Professional/Vocational,Engineering,Engineering,Engineering
15.0101,Architectural Engineering Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0201,Civil Engineering Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0303,"Electrical, Electronic and Communications Engineering  Technology/Technician",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0304,Laser and Optical Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0305,Telecommunications Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0306,Integrated Circuit Design,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0399,"Electrical and Electronic Engineering Technologies/Technicians, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0401,Biomedical Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0403,Electromechanical Technology/Electromechanical Engineering Technology,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0404,Instrumentation Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0405,Robotics Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0406,Automation Engineer Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0499,"Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Ot",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Te",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0503,Energy Management and Systems Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0505,Solar Energy Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0506,Water Quality and Wastewater Treatment Management and Recycling Technology/Technic,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0507,Environmental Engineering Technology/Environmental Technology,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0508,Hazardous Materials Management and Waste Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0599,"Environmental Control Technologies/Technicians, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0603,Industrial/Manufacturing Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0607,Plastics and Polymer Engineering Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0611,Metallurgical Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0612,Industrial Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0613,Manufacturing Engineering Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0614,Welding Engineering Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0615,Chemical Engineering Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0616,Semiconductor Manufacturing Technology,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0688,Industrial/Manufacturing Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0699,"Industrial Production Technologies/Technicians, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0701,Occupational Safety and Health Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0702,Quality Control Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0703,Industrial Safety Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0704,Hazardous Materials Information Systems Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0799,"Quality Control and Safety Technologies/Technicians, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0801,Aeronautical/Aerospace Engineering Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0803,Automotive Engineering Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0805,Mechanical Engineering/Mechanical Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0899,"Mechanical Engineering Related Technologies/Technicians, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0901,Mining Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0903,Petroleum Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.0999,"Mining and Petroleum Technologies/Technicians, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1001,Construction Engineering Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1102,Survey Technology/ Surveying,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1103,Hydraulics and Fluid Power Technology/ Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1199,"Engineering-Related Technologies, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1201,Computer Engineering Technology/ Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1202,Computer Technology/Computer Systems Technology,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1203,Computer Hardware Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1204,Computer Software Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1299,"Computer Engineering Technologies/Technicians, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1301,"Drafting and Design Technology/Technician, General",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1302,CAD/CADD Drafting and/or Design Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1303,Architectural Drafting and Architectural CAD/CADD,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1304,Civil Drafting and Civil Engineering CAD/CADD,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1305,Electrical/Electronics Drafting and Electrical/ Electronics CAD/CADD,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1306,Mechanical Drafting and Mechanical Drafting CAD/CADD,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1399,"Drafting/Design Engineering Technologies/Technicians, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1401,Nuclear Engineering Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1501,Engineering/Industrial Management,Technician,,Professional/Vocational,Engineering,Engineering,Engineering
15.1502,Engineering Design,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1503,Packaging Science,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1599,"Engineering-Related Fields, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.1601,Nanotechnology,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
15.9999,"Engineering Technologies and Engineering-Related Fields, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
16.0101,"Foreign Languages and Literatures, General",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0102,Linguistics,Linguistics,X,Humanities,Humanities,Humanities,Humanities
16.0103,Language Interpretation and Translation,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0104,Comparative Literature,Comparative Literature,X,Humanities,Humanities,Humanities,Humanities
16.0105,Applied Linguistics,Linguistics,X,Humanities,Humanities,Humanities,Humanities
16.0199,"Linguistic, Comparative, and Related Language Studies and Services, Other",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0201,"African Languages, Literatures, and Linguistics",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.03,"East Asian Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0301,Chinese Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0302,Japanese Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0303,Korean Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0399,"East Asian Languages, Literatures, and Linguistics, Other",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.04,"Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0402,Russian Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0406,Czech Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0407,Polish Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0408,"Bosnian, Serbian, and Croatian Languages and Literatures",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0499,"Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.05,"Germanic Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0501,German Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0502,"Scandinavian Languages, Literatures, and Linguistics",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0503,Danish Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0504,Dutch/Flemish Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0505,Norwegian Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0506,Swedish Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0599,"Germanic Languages, Literatures, and Linguistics, Other",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0601,Modern Greek Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.07,"South Asian Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0702,"Sanskrit and Classical Indian Languages, Literatures, and Linguistics",Classical Studies,X,Humanities,Humanities,Humanities,Humanities
16.0801,"Iranian Languages, Literatures, and Linguistics",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.09,"Romance Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0901,French Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0902,Italian Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0904,Portuguese Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0905,Spanish Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0906,Romanian Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0908,"Hispanic and Latin American Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.0999,"Romance Languages, Literatures, and Linguistics, Other",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1001,"American Indian/Native American Languages, Literatures, and Linguistics",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.11,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1101,Arabic Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1102,Hebrew Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1103,"Ancient  Near Eastern and Biblical Languages, Literatures and Linguistics",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1199,"Middle/Near Eastern and Semitic Languages, Literatures,  and Linguistics, Other",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.12,"Classics and Classical Languages, Literatures, and Linguistics, General",Classical Studies,X,Humanities,Humanities,Humanities,Humanities
16.1202,Ancient/Classical Greek Language and Literature,Classical Studies,X,Humanities,Humanities,Humanities,Humanities
16.1203,Latin Language and Literature,Classical Studies,X,Humanities,Humanities,Humanities,Humanities
16.1299,"Classics and Classical Languages, Literatures, and Linguistics, Other",Classical Studies,X,Humanities,Humanities,Humanities,Humanities
16.1301,"Celtic Languages, Literatures, and Linguistics",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1404,Filipino/Tagalog Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1408,Vietnamese Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1501,Turkish Language and Literature,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1502,"Uralic Languages, Literatures, and Linguistics",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1601,American Sign Language (ASL),Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1602,Linguistics of ASL and Other Sign Languages,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1603,Sign Language Interpretation and Translation,Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.1699,"American Sign Language, Other",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
16.9999,"Foreign Languages, Literatures, and Linguistics, Other",Languages and Literatures Other than English,X,Humanities,Humanities,Humanities,Humanities
19.0101,"Family and Consumer Sciences/Human Sciences, General",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0201,Business Family and Consumer Sciences/Human Sciences,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0202,Family and Consumer Sciences/Human Sciences Communication,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0203,Consumer Merchandising/Retailing Management,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0299,"Family and Consumer Sciences/Human Sciences Business Services, Other",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0401,"Family Resource Management Studies, General",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0402,Consumer Economics,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0403,Consumer Services and Advocacy,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0499,"Family and Consumer Economics and Related Services, Other",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0501,"Foods, Nutrition, and Wellness Studies, General",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0502,Foods and Nutrition Science,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0503,Dietetics/Human Nutritional Services,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0504,Human Nutrition,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0505,Foodservice Systems Administration/Management,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0599,"Foods, Nutrition, and Related Services, Other",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0601,"Housing and Human Environments, General",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0603,Interior Environments,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0604,Facilities Planning and Management,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0605,Home Furnishings and Equipment Installers,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0699,"Housing and Human Environments, Other",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0701,"Human Development and Family Studies, General",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0702,Adult Development and Aging,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0704,Family Systems,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0706,Child Development,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0707,Family and Community Services,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0708,Child Care and Support Services Management,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0709,Child Care Provider/Assistant,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.071,Developmental Services Worker,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0799,"Human Development, Family Studies, and Related Services, Other",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0901,"Apparel and Textiles, General",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0902,Apparel and Textile Manufacture,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0904,Textile Science,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0905,Apparel and Textile Marketing Management,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0906,Fashion and Fabric Consultant,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.0999,"Apparel and Textiles,  Other",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
19.9999,"Family and Consumer Sciences/Human Sciences, Other",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0101,Comprehensive Consumer & Homemaking Education,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0102,"Child Development, Care and Guidance",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0103,Clothing and Textiles,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0104,Consumer Education,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0106,Family/Individual Health,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0107,Family Living and Parenthood,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0108,Food and Nutrition,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0109,Home Management,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.011,"Housing, Home Furnishings and Equipment",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0199,"Consumer and Homemaking Education, Other",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0203,Child Care Services Manager,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0299,"Child Care and Guidance Workers/Managers, Other",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0305,Custom Tailor,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0309,Drycleaner and Launderer (Commercial),Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0401,"Institutional Food Workers/Administrators, Gen",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0405,Food Caterer,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0409,Institutional Food Services Administrator,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0499,"Institutional Food Workers/Administrators, Other",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0502,Window Treatment Maker and Installer,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0599,"Home Furn and Equip Installers/Consultants, Other",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0601,"Custodial, Housekeep, Home Svcs Wkrs/Mgrs, Gen",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0602,Elder Care Provider/Companion,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0604,Custodian/Caretaker,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0605,Executive Housekeeper,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0606,Homemaker's Aide,Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.0699,"Custodial, Housekeep, Home Svcs Wkrs/Mgrs, Oth",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
20.9999,"Vocational Home Economics, Other",Home Economics,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
22.0001,Pre-Law Studies,Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0101,Law,Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0201,"Advanced Legal Research/Studies, General",Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0202,Programs For Foreign Lawyers,Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0203,American/U.S. Law/Legal Studies/Jurisprudence,Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0205,"Banking, Corporate, Finance, and Securities Law",Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0206,Comparative Law,Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0207,"Energy, Environment, and Natural Resources Law",Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0208,Health Law,Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0209,International Law and Legal Studies,Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.021,"International Business, Trade, and Tax Law",Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0211,Tax Law/Taxation,Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0212,Intellectual Property Law,Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0299,"Legal Research and Advanced Professional Studies (Post- LL.B./J.D.), Other",Law,,Other/Unknown,Other/Unknown,Law,Other/Unknown
22.0301,Legal Administrative Assistant/Secretary,Law,,Professional/Vocational,Other/Unknown,Law,Other/Unknown
22.0302,Legal Assistant/Paralegal,Law,,Professional/Vocational,Other/Unknown,Law,Other/Unknown
22.0303,Court Reporting/Court Reporter,Law,,Professional/Vocational,Other/Unknown,Law,Other/Unknown
22.0399,"Legal Support Services, Other",Law,,Professional/Vocational,Other/Unknown,Law,Other/Unknown
22.9999,"Legal Professions and Studies, Other",Law,,Professional/Vocational,Other/Unknown,Law,Other/Unknown
23.0101,"English Language and Literature, General",English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
23.0401,English Composition,English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
23.1001,Speech and Rhetorical Studies,English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
23.1301,"Writing, General",English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
23.1302,Creative Writing,English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
23.1303,"Professional, Technical, Business, and Scientific Writing",Other,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
23.1304,Rhetoric and Composition,English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
23.1399,"Rhetoric and Composition/Writing Studies, Other",English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
23.1401,General Literature,English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
23.1402,American Literature (U.S.),English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
23.1404,English Literature (British and Commonwealth),English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
23.1405,Children's and Adolescent Literature,English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
23.1499,"Literature, Other",English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
23.9999,"English Language and Literature/Letters, Other",English Language and Literature,X,Humanities,Humanities,Humanities,Humanities
24.0101,Liberal Arts and Sciences/Liberal Studies,Liberal Arts,,Humanities,Other/Unknown,Humanities,Humanities
24.0102,General Studies,Liberal Arts,,Humanities,Other/Unknown,Humanities,Humanities
24.0103,Humanities/Humanistic Studies,Humanities/Humanistic Studies,,Humanities,Humanities,Humanities,Humanities
24.0199,"Liberal Arts and Sciences, General Studies and Humanities, Other",Liberal Arts,,Humanities,Other/Unknown,Humanities,Humanities
25.0101,Library and Information Science,Library Science,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
